pair,material_id,distance_dex,realized_Linf_A,realized_Linf_B,realized_Linf_ratio_A_over_B,row_index_A,row_index_B,nominal_tolerance_absolute_A,nominal_tolerance_absolute_B,nominal_tolerance_relative_A,nominal_tolerance_relative_B,Bader_error_fixed_e_A,Bader_error_fixed_e_B,Bader_error_resolved_e_A,Bader_error_resolved_e_B,compression_ratio_A,compression_ratio_B,bits_per_value_A,bits_per_value_B,certified_at_0.0001_A,certified_at_0.0001_B,certified_at_0.0001_ignoring_eligibility_A,certified_at_0.0001_ignoring_eligibility_B,certified_at_0.001_A,certified_at_0.001_B,certified_at_0.001_ignoring_eligibility_A,certified_at_0.001_ignoring_eligibility_B,certified_at_0.01_A,certified_at_0.01_B,certified_at_0.01_ignoring_eligibility_A,certified_at_0.01_ignoring_eligibility_B,eligible_A1_at_0.0001_A,eligible_A1_at_0.0001_B,eligible_A1_at_0.001_A,eligible_A1_at_0.001_B,eligible_A1_at_0.01_A,eligible_A1_at_0.01_B
sz3_vs_sperr,mp-1187279,0.0059892038388353885,0.1853490426581885,0.1828105028995423,1.0138861811459552,945,939,0.18535416241188,0.18535416241188,0.0003,0.0003,0.0030876433521971,0.0002180271764071,0.0403667577923503,0.0085994498685888,104.3174958077138,143.74351321426852,0.6135116598079561,0.4452374828532236,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True
sz3_vs_sperr,mp-1187279,0.010593425555479707,1.85349334103482,1.808829384572789,1.0246921886845508,947,941,1.8535416241188,1.8535416241188,0.003,0.003,0.0226335010487943,0.0034323396542248,0.1806985462105288,0.0803362163210135,332.2929000667705,410.4445360824742,0.1926011659807956,0.15592849794238683,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
sz3_vs_sperr,mp-1187638,0.00016698013904314912,0.0400254063638527,0.0400100201143907,1.0003845599031944,964,956,0.04002554264454,0.04002554264454,3e-05,3e-05,0.000263193891822,1.2438709571682692e-05,0.0040028431082745,0.0005560902814547,45.002818826343216,70.96764151225791,1.4221331389698737,0.9018194579419069,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True
sz3_vs_sperr,mp-1187638,0.00027705051318371865,0.0133418461194523,0.013333337637988,1.0006381359038008,963,955,0.01334184754818,0.01334184754818,1e-05,1e-05,7.089903100876427e-05,1.639592922764166e-05,0.0033988573565881,0.007954706246835,29.17640109281548,46.52262046094524,2.193553611920959,1.3756748731238526,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True
sz3_vs_sperr,mp-1187638,0.0003738016918770487,1.3338193759155494,1.3326718378888245,1.0008610807207743,967,959,1.334184754818,1.334184754818,0.001,0.001,0.0154764140752767,0.0014324340356015,0.0537085788950957,0.0239615178210321,312.3604743083004,367.682382133995,0.20489148040168448,0.17406327610409242,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
sz3_vs_sperr,mp-1187638,0.0021311196617899153,0.1334172905075021,0.1327642042923571,1.0049191438206253,965,957,0.1334184754818,0.1334184754818,0.0001,0.0001,0.000795027716947,3.798199942472991e-05,0.0140610007597157,0.0035393658906084,80.96772651207267,117.79281562080789,0.7904383975812547,0.5433268545513443,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True
sz3_vs_sperr,mp-1187638,0.00795937154918902,0.4002537764818434,0.3929850839648594,1.018496102812986,966,958,0.4002554264454,0.4002554264454,0.0003,0.0003,0.00067643917283,0.0001901632728884,0.0284056743111538,0.0252743194674796,138.00663600908086,205.46113181384868,0.4637458157866321,0.3114944390454595,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
sz3_vs_sperr,mp-1188002,5.27081527801343e-06,0.000176363660655,0.0001763615202303,1.0000121365743344,990,978,0.000176363807649,0.000176363807649,3e-07,3e-07,6.439959676640683e-08,2.6987629553332226e-07,3.022302216137973e-05,0.0001202926718928,5.893432123521946,9.21520362437814,10.85954646776406,6.945044581618656,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sz3_vs_sperr,mp-1188002,8.127427848503288e-06,0.0005878756577146,0.0005878646562571,1.0000187142693184,991,979,0.0005878793588299,0.0005878793588299,1e-06,1e-06,9.028478462624888e-07,8.515550682375306e-07,4.0898675200296e-05,9.041674061727178e-05,7.644314734457202,12.070238980693984,8.372235082304528,5.302297668038409,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sz3_vs_sperr,mp-1188002,1.153329142233872e-05,5.878766747891007e-05,5.878610631171455e-05,1.0000265567375266,989,977,5.8787935883e-05,5.8787935883e-05,1e-07,1e-07,5.764024990639882e-08,4.982852352952705e-08,9.022655108559265e-05,9.02212343429909e-05,4.807805883394787,7.473816472519936,13.311685528120714,8.563228737997257,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
