caliper_dex,pair,metric,effect_type,n_usable_pairs,n_usable_materials,a_pair_median,b_pair_median,effect,ci_low,ci_high
0.2,zfp_vs_sperr,certified_at_0.001 | both eligible_A1_at_0.001=TRUE,material-mean certification-rate difference zfp-sperr,743,143,0.3620457604306864,0.2934051144010767,0.08018093018093017,0.055212287712287714,0.10475212287712288
0.2,zfp_vs_sperr,certified_at_0.001_ignoring_eligibility,material-mean certification-rate difference zfp-sperr,1091,245,0.2603116406966086,0.20623281393217233,0.05605118237771299,0.040315678652413346,0.07339467930029153
0.2,zfp_vs_sperr,certified_at_0.01 | both eligible_A1_at_0.01=TRUE,material-mean certification-rate difference zfp-sperr,1032,226,0.6182170542635659,0.5096899224806202,0.11095132743362832,0.08255965549936789,0.13960308680994518
0.2,zfp_vs_sperr,certified_at_0.01_ignoring_eligibility,material-mean certification-rate difference zfp-sperr,1091,245,0.5930339138405133,0.4848762603116407,0.10846938775510204,0.08113528506640752,0.13542310495626822
0.2,sz3_vs_sperr,Bader_error_fixed_e,material-median ratio sz3/sperr,1848,254,0.00024414631133535,1.8487504053865678e-05,10.774690116694826,10.114998517284501,11.41847427280604
0.2,sz3_vs_sperr,Bader_error_resolved_e,material-median ratio sz3/sperr,1848,254,0.004860170924649351,0.0044919420803597,1.0325070260736608,0.9762380496022375,1.0716556526466035
0.2,sz3_vs_sperr,compression_ratio,material-median ratio sz3/sperr,1848,254,35.861785027145686,9.95661057623849,3.5819085179736745,3.3481346544661936,3.816413354001704
0.2,sz3_vs_sperr,bits_per_value,material-median ratio sz3/sperr,1848,254,1.784629539207176,6.427893763472467,0.2791807761091875,0.2620261243325357,0.2986737700845051
0.2,sz3_vs_sperr,certified_at_0.0001 | both eligible_A1_at_0.0001=TRUE,material-mean certification-rate difference sz3-sperr,456,46,0.12938596491228072,0.16447368421052633,-0.03326196750109794,-0.059976257136583215,-0.007717803030303035
0.2,sz3_vs_sperr,certified_at_0.0001_ignoring_eligibility,material-mean certification-rate difference sz3-sperr,1848,254,0.039502164502164504,0.05357142857142857,-0.010407931963050074,-0.01717249832407313,-0.004311318329526992
0.2,sz3_vs_sperr,certified_at_0.001 | both eligible_A1_at_0.001=TRUE,material-mean certification-rate difference sz3-sperr,1329,143,0.3476297968397291,0.3935289691497366,-0.04838747111474384,-0.06566605112059658,-0.029937871471962384
0.2,sz3_vs_sperr,certified_at_0.001_ignoring_eligibility,material-mean certification-rate difference sz3-sperr,1848,254,0.2527056277056277,0.2884199134199134,-0.030077348286009702,-0.04094875214461829,-0.019768899626183094
0.2,sz3_vs_sperr,certified_at_0.01 | both eligible_A1_at_0.01=TRUE,material-mean certification-rate difference sz3-sperr,1754,229,0.6510832383124288,0.6539338654503991,-0.014820853576312092,-0.03592243394645142,0.006570863028286595
0.2,sz3_vs_sperr,certified_at_0.01_ignoring_eligibility,material-mean certification-rate difference sz3-sperr,1848,254,0.6195887445887446,0.6228354978354979,-0.014215126518276125,-0.03416786680074082,0.004386994239356434
0.3,zfp_vs_sz3,Bader_error_fixed_e,material-median ratio zfp/sz3,1621,248,2.597336711218645e-05,0.0004376968800956,0.06780416063799409,0.061370202346576225,0.07524416267145642
0.3,zfp_vs_sz3,Bader_error_resolved_e,material-median ratio zfp/sz3,1621,248,0.0036883993481424,0.006621398270072,0.5986676293319056,0.5680945824647124,0.6240260862806625
0.3,zfp_vs_sz3,compression_ratio,material-median ratio zfp/sz3,1621,248,23.898211322146413,43.28822982954842,0.529861928002749,0.5100158045895626,0.5449394428041516
0.3,zfp_vs_sz3,bits_per_value,material-median ratio zfp/sz3,1621,248,2.678024691358025,1.4784619341563785,1.8872841152588185,1.8350662870982428,1.9607235520961042
0.3,zfp_vs_sz3,certified_at_0.0001 | both eligible_A1_at_0.0001=TRUE,material-mean certification-rate difference zfp-sz3,379,46,0.22955145118733508,0.12928759894459102,0.10317460317460317,0.07515031918564527,0.1331717995169082
0.3,zfp_vs_sz3,certified_at_0.0001_ignoring_eligibility,material-mean certification-rate difference zfp-sz3,1621,248,0.09253547193090685,0.03824799506477483,0.04511183261183262,0.03496426680398454,0.055217417551086896
