codec,system_type,hartree_log10_bin_left,n,bader_p10,bader_p90,bader_p90_over_p10,bader_min,bader_max,bader_max_over_min
SZ3,slab,-7.0,30,0.00024671147968341,0.0014355533196303307,5.8187536367277675,0.0001047348971745,0.0026408168402092,25.21429734932861
SZ3,slab,-6.5,35,0.00035679698460843996,0.00244555668223256,6.854196609638923,0.000205545926887,0.0172801607589008,84.06958493709614
SZ3,slab,-6.0,36,0.00068609401402135,0.0035466947515163,5.169400518054853,0.0004667923227827,0.0290052756236782,62.13743073315425
SZ3,slab,-5.5,59,0.0016750984760928401,0.019805239726469963,11.823328603740121,0.0005996591823382,0.3894269249733089,649.4137610881728
SZ3,slab,-5.0,60,0.00290440200923084,0.03153054561250469,10.856123054692002,0.0012809235495465,0.2155424309732208,168.27111270577524
SZ3,slab,-4.5,65,0.004811327597392821,0.0409526075537531,8.511706327364747,0.0032926789825884,0.4025274672361227,122.24922908205671
SZ3,slab,-4.0,71,0.0063839918845722,0.0512792713017713,8.032477520169591,0.0043978834411495,0.0861347247592725,19.585495139170625
SZ3,slab,-3.5,55,0.03173375297258612,0.1101696397212556,3.4716864348325895,0.0090545301246951,0.1303462777959083,14.395697623270932
SZ3,slab,-3.0,12,0.04143165765035872,0.1602726723035547,3.868362537074763,0.0285505286633327,0.2169495943698205,7.598794296529008
ZFP,bulk,-9.5,48,3.453284680432489e-09,0.00021260738876829026,61566.71356201752,8.24753598749339e-10,0.0009198823429148,1115342.0176762063
ZFP,bulk,-9.0,100,3.824258847373586e-08,0.00021765981274682008,5691.555447307232,7.932628776075035e-09,0.0015468646602805,195000.25829342657
ZFP,bulk,-8.5,101,4.718846122742093e-06,0.0003752538267143,79.52236986618294,7.201170326709416e-09,0.0016349498586549,227039.46504234296
ZFP,bulk,-8.0,105,1.8226417214073363e-05,0.00047361183503580025,25.984911322566738,2.4836179335352423e-08,0.0070811857518202,285115.74410081137
ZFP,bulk,-7.5,136,7.906999863438458e-05,0.00327980008852165,41.47970336621946,1.6175194783585314e-07,2.913303702306608,18010934.281069964
ZFP,bulk,-7.0,181,0.0001764003266551,0.0067224336914479,38.10896396236092,3.343989085635713e-07,0.1163743124814544,348010.4435189295
ZFP,bulk,-6.5,178,0.00032912042988528,0.005978983461962423,18.16655217680194,2.329806836698367e-05,0.0611306015714312,2623.8484928673765
ZFP,bulk,-6.0,186,0.0005071170200503,0.0084136240183552,16.591089799195988,4.195884668689587e-05,0.0459526850676912,1095.184655827126
ZFP,bulk,-5.5,173,0.00129509394625462,0.010863189898496668,8.387955120871924,7.820964775362427e-06,0.1872385481507885,23940.59473846841
ZFP,bulk,-5.0,188,0.0026843324491992,0.02533710961940547,9.438886612932064,0.000743916938438,0.3849246896122889,517.4296614626278
ZFP,bulk,-4.5,157,0.006132340992950861,0.03902074406602159,6.363107353435827,0.0013648841127,0.0970287183290654,71.08934555412486
ZFP,bulk,-4.0,163,0.00929376282949758,0.08580262446244759,9.232280405318463,0.0012753636244067,0.495227912105971,388.3033063110541
ZFP,bulk,-3.5,96,0.01647037488880885,0.2872562700984722,17.440785169598943,0.0033756700061431,1.1714734784094176,347.0343594834658
ZFP,bulk,-3.0,24,0.06398180807728521,0.4752690402861938,7.42819020856842,0.0241908944490631,0.8750470118996319,36.172577816093195
ZFP,slab,-10.0,12,1.756063263247399e-06,0.0001260193898262581,71.76244299605517,3.766642997504732e-09,0.0006040442725421,160366.74379341444
ZFP,slab,-9.5,24,1.2343403470893579e-06,0.0005490108514983,444.78077119726146,1.5445208378928046e-07,0.0009249596980271,5988.65146610146
ZFP,slab,-9.0,44,1.7223029530821776e-05,0.0006499279864873402,37.73598514269804,9.881518492349528e-07,0.0012850106041888,1300.418154541411
ZFP,slab,-8.5,35,6.290223390195138e-05,0.0008351984253223803,13.277722801136802,1.246840638913227e-05,0.0022717894390185,182.20367287664288
ZFP,slab,-8.0,50,9.2389563373807e-05,0.0032027728901315006,34.665959802982535,5.745703345017006e-05,0.0185659724440192,323.1279328077501
ZFP,slab,-7.5,60,0.00018566210980544,0.00833238305773555,44.87928671319777,5.87604295230193e-05,0.0223829050508168,380.9179958776226
ZFP,slab,-7.0,86,0.00057840543394325,0.0097395499232968,16.838621063598776,5.52485288984883e-06,0.214514089807956,38827.113424521514
ZFP,slab,-6.5,71,0.0011416841962539,0.0137322135447348,12.028031560560274,9.388980780755674e-05,0.0454628523593232,484.2149901138057
ZFP,slab,-6.0,75,0.0023000271552699597,0.02366594650599468,10.289420475653884,0.0008925043733221,0.2098760170313358,235.15404888172202
ZFP,slab,-5.5,56,0.0035497581131167,0.02912561988540545,8.204959030245881,0.0012337338550345,0.2087822259745824,169.22792960783593
ZFP,slab,-5.0,54,0.007449614028151,0.0749763563863626,10.064461877224502,0.002683734520021,0.1563030284132711,58.24086818097344
ZFP,slab,-4.5,32,0.01621740697869444,0.08720979982438039,5.377542780973058,0.0076582906681519,0.1441894556956544,18.827890183809153
