material_id,formula,system_type,corpus,codec,codec_config_frozen,ladder,nominal_tolerance_relative,nominal_tolerance_absolute,npoints,npoints_frozen,natoms,value_ptp,value_ptp_frozen,stability_floor_A1_e,npz_sha256,frozen_realized_Linf,frozen_compressed_bytes,compression_ratio_frozen,Bader_error_resolved_e,Bader_error_fixed_e,frac_voxels_reassigned,n_voxels_reassigned,electron_count_abs_dev_frozen,rmse_density_frozen,codec_config_reproduced,reproduced_realized_Linf,Linf_reproduction_ratio,reproduced_compressed_bytes,compressed_bytes_equal,gate_linf_pass,reproduction_gate_pass,realized_Linf,realized_Linf_over_ptp,rmse_density,electron_count_abs_dev,compression_ratio_reproduced,compression_ratio,V_orig_rms,potential_rel_RMSE,potential_rel_Linf,encode_seconds
mp-676693,KCN,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,0.0001,0.09373647857798,870912,870912,12,937.3647857798,937.3647857798,2.1593718188661622e-05,723e9f4aac25d7077832270290fce31fc61342cd371259283ec6d979155112b4,0.0937364762993411,152406,45.71536553678989,0.0025316077098693,0.0002734971721913,0.0085680298353909,7462,0.0018168981631703,0.0454849686361229,pysz ABS INTERP_LORENZO,0.093736476299334,0.9999999999999244,152405,False,True,False,0.093736476299334,9.999999756909368e-05,0.0454849686361227,0.0018168981631845,45.715665496538826,45.715665496538826,355.7525025662813,2.8752125384437698e-05,0.0001232047253053,0.163
mp-1205681,K2NaPdF6,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,1e-05,0.022237636537899,884736,884736,10,2223.7636537899,2223.7636537899,0.0001780077489179,74fe5afddd8b9b25f4699ee9540c56fbcb91ffa614fa553aed756d2d27fe39f5,0.0222376263059302,363747,19.45827182079852,0.0006320035806277,4.542115727090845e-05,0.0024583604600694,2175,0.0003129363508094,0.0118051484925069,pysz ABS INTERP_LORENZO,0.0222376263058947,0.9999999999984064,363746,False,True,False,0.0222376263058947,9.999995398789695e-06,0.0118051484925067,0.0003129363508094,19.458325314917552,19.458325314917552,326.56865989094314,5.149033141181884e-06,2.412504345062224e-05,0.277
mp-1205681,K2NaPdF6,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,3e-05,0.066712909613697,884736,884736,10,2223.7636537899,2223.7636537899,0.0001780077489179,74fe5afddd8b9b25f4699ee9540c56fbcb91ffa614fa553aed756d2d27fe39f5,0.0667128111615298,237234,29.83504893902224,0.0025179889785604,0.000224763020002,0.0060040509259259,5312,0.0012635125530806,0.0334855875934829,pysz ABS INTERP_LORENZO,0.0667128111615298,1.0000000000000004,237233,False,True,False,0.0667128111615298,2.999995572723432e-05,0.0334855875934828,0.0012635125530948,29.83517470166461,29.83517470166461,326.56865989094314,1.753536559756991e-05,6.0093992837461504e-05,0.243
mp-1111338,NaLi2VF6,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,3e-05,0.057522988444125,884736,884736,10,1917.4329481375,1917.4329481375,0.0034288447017898,cf802d71a91eff5d7a7cff35cd59b6b9f33ecb55df84527be66046936d0883ed,0.0575229657282747,233574,30.3025507976059,0.0072789973754989,0.0001720598289844,0.0109806767216435,9715,0.001036183496879,0.0284004737940582,pysz ABS INTERP_LORENZO,0.0575229657282392,0.9999999999993834,233573,False,True,False,0.0575229657282392,2.999998815296994e-05,0.0284004737940582,0.001036183496879,30.302680532424557,30.302680532424557,367.123344255775,1.3840199725969454e-05,5.5739124165187697e-05,0.285
mp-977372,Pm2SnHg,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,3e-05,0.041095401181077,884736,884736,4,1369.8467060359,1369.8467060359,0.000423007748445,678372121b24290fed984b4ba029352d9f5a8af4edde457f9650a60285a00ece,0.0410951246936406,134264,52.71620091759519,0.0070007177063828,0.0005992034802151,0.0043007179542824,3805,0.0014340779468753,0.0197908127403661,pysz ABS INTERP_LORENZO,0.0410951246936406,1.0000000000000009,134263,False,True,False,0.0410951246936406,2.9999798161768644e-05,0.0197908127403665,0.0014340779468753,52.71659355146243,52.71659355146243,185.21034400220373,1.6236218319472803e-05,6.874521848204307e-05,0.182
mp-2230770,MgFe6(O3F)3,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,0.0001,0.4496702442873699,903168,903168,19,4496.7024428737,4496.7024428737,7.70487921633034e-05,065c6c0ed5ca49f6c617c06e2ac4824a0ce40b37f457a1dd91bea6913ef96de4,0.4496691730313316,176549,40.925431466618335,0.0049203228239917,0.0013447264476118,0.0136740894274376,12350,0.0112791952091697,0.2167902376655015,pysz ABS INTERP_LORENZO,0.4496691730312498,0.9999999999998184,176548,False,True,False,0.4496691730312498,9.999976176851066e-05,0.2167902376655002,0.0112791952091413,40.92566327570973,40.92566327570973,688.4999033225046,9.425563998457076e-05,0.0004507647315916,0.182
mp-752866,V4O7F5,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,tight,1e-07,0.0003016765672552,896000,896000,16,3016.76567255247,3016.76567255247,3.141221448732523e-05,419b40ebcf6388e240a337526841eb9b65d6b42060fb4781f7f971aab9955e63,0.0003016760423619,1388792,5.1613200536869455,5.767975920356605e-05,1.3451502756112177e-07,0.0001160714285714,104,6.575214968052023e-07,0.0001691710549816,pysz ABS INTERP_LORENZO,0.0003016760446428,1.000000007560819,1388793,False,True,False,0.0003016760446428,9.999982676399637e-08,0.0001691710549848,6.575216531246042e-07,5.161316337279926,5.161316337279926,608.8736921576767,2.0358395426435908e-08,1.2168567911163126e-07,0.767
mp-1103974,La(Mo3S4)2,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,0.003,5.651448863058,1000000,1000000,15,1883.816287686,1883.816287686,0.0009891331278399,9ab990739768a8024ab9075dcf991bb0c93b304353eb7652ba70cd9f30655ab7,5.651177451706758,19313,414.2287578315125,0.0540601998075143,0.0146001842738385,0.042377,42377,0.0433009834873416,1.7265206447219217,pysz ABS INTERP_LORENZO,5.651177451706701,0.99999999999999,19315,False,True,False,5.651177451706701,0.0029998559247241,1.7265206447219208,0.0433009834873416,414.18586590732593,414.18586590732593,965.6040309048908,0.0012570910923887,0.0044631593855707,0.151
mp-1100976,V3AgO8,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,tight,3e-07,0.0011088772952803,1204224,1204224,24,3696.2576509345,3696.2576509345,8.042828407628377e-05,6acef8d92493dcc7ff0d960bb3e4c95abb2215339b3f09bf12422020f62d28a1,0.0011088766268727,1407346,6.8453614107689225,0.000153341875027,3.9807702911787146e-07,0.000180199032738,217,2.049052710617616e-06,0.0006202778841866,pysz ABS INTERP_LORENZO,0.0011088766268088,0.9999999999423812,1407347,False,True,False,0.0011088766268088,2.999998191490948e-07,0.0006202778841883,2.0490527390393254e-06,6.845356546750731,6.845356546750731,1166.4011292991104,5.8498729215703315e-08,2.629365359458318e-07,0.558
mp-1009084,BeSnAs2,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,tight,1e-06,0.0023221631804179,1259712,1259712,8,2322.163180418,2322.163180418,0.0001314017050297,7002741444dcc6c75afbe860bf983dc6cfe7abcd3dcf1cf1f42aad76142c47c6,0.002322161884777,778689,12.941875382855027,0.0004908331919901,9.521145814872511e-06,0.0005580640654371,703,4.353356690955934e-05,0.0012443637684518,pysz ABS INTERP_LORENZO,0.0023221618847202,0.9999999999755532,778688,False,True,False,0.0023221618847202,9.999994420298368e-07,0.001244363768435,4.353356694508648e-05,12.941892002958824,12.941892002958824,347.66064936089623,9.22426968929114e-07,3.226392415958753e-06,0.448
