material_id,domain,formula,npoints,natoms,value_ptp,electrons_per_cell,float32_field_rel_error,floor_resolved_e,floor_fixed_e,n_voxels_reassigned,frac_voxels_reassigned,bader_seconds,sha256,corpus
mp-1175263,bulk,Li7Mn4CoO12,829440,24,3769.4718463576,154.0000001887175,3.237771226212179e-08,1.1010790501586598e-08,1.1010790501586598e-08,0,0.0,0.44,482795afd80de3d05cf3c65447eab029a90ca189e201879bee313f1474935e11,dev_bulk
mp-1177023,bulk,Li6V5O12,921600,23,2595.469025599,145.00000020737426,4.678224778146804e-08,6.0385829669939994e-09,6.0385829669939994e-09,0,0.0,0.51,16a4c36f2fd028c3caa0155992f8aeac61df64c49cbc66223b4a3fc82b52df09,dev_bulk
mp-1178256,bulk,Fe5O7F3,1244160,30,6798.455947685699,266.00000274342807,3.5896937782602966e-08,4.758446081609691e-09,4.758446081609691e-09,0,0.0,0.63,07b6a6c016fb569cc29842f89e53e39151c0289724c5115dfb1895597de1e743,dev_bulk
mp-1178447,bulk,Fe2OF3,1105920,24,6105.5947609628,220.00000762418327,3.991728242166895e-08,9.681638601932718e-09,9.681638601932718e-09,0,0.0,0.64,6facd2ae3e145c3912877d0ad038be1e47e3196a05b4d47db2d2771de995d6e2,dev_bulk
mp-1184653,bulk,HW3,508032,8,582.0206361979999,73.99999996310737,5.2416257770677014e-08,0.0001895112618051,6.258630946831545e-09,7,1.3778659611992945e-05,0.3,e6c82f95ddd8776a67dfd5aee6735273a2ea713ea5bbb969866430f6adcdbbbc,dev_bulk
mp-1187017,bulk,SiPb3,979776,8,1918.627117167,91.99999935255416,3.181148355923016e-08,0.0016733587330453,2.7110775846495012e-09,214,0.0002184172708864,1.29,b6898dea62237d42012d88588dbf990c9cff7c42ba31bf1ac324d84cc9fb88b6,dev_bulk
mp-1187022,bulk,SmHo3,1382400,8,759.748577234,76.0000000651451,4.016727665672405e-08,0.0005558099730613,1.6791048551567653e-09,301,0.0002177372685185,0.75,01b4b47fd53f40254f59097b8ac29c2dad77161bb50a07eddd087ef701be68d0,dev_bulk
mp-1187279,bulk,Tb3Hg,373248,4,617.8472080396,39.00000006840128,4.8185962635547475e-08,7.638929488962276e-09,7.638929488962276e-09,0,0.0,0.2,5fcb0efa7a5771e686e9f4b1af5399b799be6505ae127e0ecdbe20e032b3f088,dev_bulk
mp-1187638,bulk,Tl3In,592704,4,1334.184754818,51.99999964578189,4.529802732828449e-08,1.182007203226476e-08,1.182007203226476e-08,0,0.0,0.31,548e47551c450ee737c3cfcf37c0a8b416d436d766b8b963a8839ba34f010fc2,dev_bulk
mp-1188002,bulk,Zr2TcOs,373248,4,587.87935883,51.00000008856671,5.1077124920898086e-08,9.525894739681462e-09,9.525894739681462e-09,0,0.0,0.21,4d0a4beffef577b6f75e6e37851be41da2739889ed0d703562db573e4af2e184,dev_bulk
mp-1192831,bulk,Ti2FeSe4,2099520,28,11504.8932951,232.00000049082465,4.22483274732556e-08,2.9042718161065292e-05,4.3983234832012386e-09,4,1.9051973784484072e-06,2.12,97b5e3d6bdb5d966555bd758994169f4a64be2f66af36d2483632125a69a1bc5,dev_bulk
mp-1193567,bulk,TbMoBrO4,1959552,28,4526.7662918900005,208.00000012689603,5.309391620750172e-08,4.032929545871866e-09,4.032929545871866e-09,0,0.0,1.98,03f4197bb0e252e95422a297ca67588632a57e0d10757dd2c7fdd3f93a7c0faa,dev_bulk
mp-1194734,bulk,ScH12N3(OF2)3,1728000,50,6577.4598598881,195.99999637655011,3.711539182014511e-08,4.275332976533264e-09,4.275332976533264e-09,0,0.0,1.18,d47a7376e5a6eb786e4bcec0d0794381ec373549d149c0a5ae0681656354e1f0,dev_bulk
mp-1197354,bulk,ZrU2S5,2332800,32,4287.7161062800005,279.9999998732419,5.4398132714107436e-08,2.0307986403622635e-09,2.0307986403622635e-09,0,0.0,2.45,9009fba61987dac14629204946429a3456b2b5e8004d7f2f26fcafafe6c32156,dev_bulk
mp-1199510,bulk,Pr5Ni19,3200000,48,21949.364852878,718.0000141438901,4.4431809642639357e-08,1.0349101131623684e-08,1.0349101131623684e-08,0,0.0,1.56,32d93b93088bc62f82cfdbe977568e952873541bd1e2f126c5c703ae7ed9c14f,dev_bulk
mp-1200041,bulk,SrV6O11,1806336,36,4854.622910964,283.99999768521013,5.017897474193634e-08,9.025207248214429e-09,9.025207248214429e-09,0,0.0,0.96,8734f0467eaf0f23264f9ff02e6954f5f939ae30f06fd4ea67d1603538d01c05,dev_bulk
mp-1200429,bulk,Mg2CO5,1290240,32,6862.7530209085,199.9999990845749,3.55715481949715e-08,5.211794551485127e-09,5.211794551485127e-09,0,0.0,0.71,4b581065b78e8b7734d97b938b5b768741c73c7eef50da9a957414a6b303339e,dev_bulk
mp-1205681,bulk,K2NaPdF6,884736,10,2223.7636537899,77.00000001005843,5.4675043694773046e-08,2.5526496472139115e-09,2.5526496472139115e-09,0,0.0,0.5,311a0465654499a3757e7e29b9c80007ff26bb2cbd27c5ce8bcd6e23b31accf1,dev_bulk
mp-1206294,bulk,CeB2Pd2C,884736,6,528.155179089,42.00000004835087,2.8890065060562687e-08,1.3538770105014919e-09,1.3538770105014919e-09,0,0.0,1.23,791b6634aa18a337165aa29ce5e1b59ba53bfaf3c7cd15e24c1234b10eb17875,dev_bulk
mp-1206630,bulk,Ho2Ge6Pt,604800,9,3504.6867952999,112.00000229825328,3.4829253537864795e-08,7.231793830442257e-09,7.231793830442257e-09,0,0.0,0.35,ad875d1aa4e9731fc7d7b3fc0636140d320adacbc62be73d72708cb709244fee,dev_bulk
