material_id,domain,formula,stability_floor_e,threshold_e,status,reason
mp-998744,bulk,TlGeCl3,2.567175e-09,0.0001,ELIGIBLE,
mp-999450,bulk,NaSmSe2,1.802583e-09,0.0001,ELIGIBLE,
nomad---3hBedCnC_e,slab,Ru16O35C4H1,1.630711e-05,0.0001,ELIGIBLE,
nomad--1YLlCXKIJKj,slab,Co20,1.108083e-02,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.108e-02 >= threshold 0.0001
nomad--33WrhYeNt5f,slab,Ti20Cl1,5.973351e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 5.973e-04 >= threshold 0.0001
nomad--5wLHf6mG5_K,slab,Co20O1,8.418836e-03,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 8.419e-03 >= threshold 0.0001
nomad--g_dRNdo_53Q,slab,V20,5.818780e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 5.819e-04 >= threshold 0.0001
nomad--kEaPn7WzevZ,slab,Co20O1,1.658079e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.658e-04 >= threshold 0.0001
nomad--maT57oivXnQ,slab,Ga15N16H2H1,6.734338e-09,0.0001,ELIGIBLE,
nomad--MeUbDBN9nIW,slab,Ti20Cl1,1.539915e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.540e-04 >= threshold 0.0001
nomad--O7C25L6mxPu,slab,Cr20,3.946267e-09,0.0001,ELIGIBLE,
nomad--ydxPkR4Tatz,slab,Zn20,4.211358e-09,0.0001,ELIGIBLE,
nomad-0-ostsntWIk9,slab,V20H1,1.424483e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.424e-04 >= threshold 0.0001
nomad-064_5lUOyDQI,slab,Co20O1,2.619803e-09,0.0001,ELIGIBLE,
nomad-0HydAdmxidgt,slab,Co20Cl1,5.310376e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 5.310e-04 >= threshold 0.0001
