material_id,domain,stability_floor_A1_e,npoints,natoms,corpus
mp-26619,bulk,0.000222069506516,2688000,56,dev_bulk
mp-27239,bulk,0.0020247529236456,1835008,18,dev_bulk
mp-28105,bulk,0.0016712797202904,1728000,35,dev_bulk
mp-30772,bulk,0.204199454621607,1960000,13,dev_bulk
mp-32108,bulk,0.0016238896531728,1756160,32,dev_bulk
mp-3612,bulk,0.001292881336945,1209600,24,dev_bulk
mp-37207,bulk,0.0002261750259924,663552,20,dev_bulk
mp-37888,bulk,0.0002769396362154,1404928,7,dev_bulk
mp-435,bulk,0.0086905517302469,373248,4,dev_bulk
mp-505574,bulk,0.0021554526963312,1728000,28,dev_bulk
mp-540547,bulk,0.0149312323422385,3870720,36,dev_bulk
mp-555976,bulk,0.0064129880899956,1612800,36,dev_bulk
mp-557569,bulk,0.0002619048210483,1555200,12,dev_bulk
mp-560030,bulk,9.210060489373006e-06,344064,6,dev_bulk
mp-560341,bulk,0.0001107591750502,1306368,28,dev_bulk
mp-567278,bulk,0.0146571676210799,1728000,15,dev_bulk
mp-567394,bulk,0.0074563486538856,1259712,13,dev_bulk
mp-567699,bulk,0.0189580220747678,1382400,19,dev_bulk
mp-569678,bulk,0.0043982361815491,2211840,18,dev_bulk
mp-569792,bulk,0.0057596609455643,614400,4,dev_bulk
mp-606377,bulk,0.0628422006149964,933120,14,dev_bulk
mp-614489,bulk,0.0018656539899808,373248,4,dev_bulk
mp-6145,bulk,0.0010388401732042,884736,10,dev_bulk
mp-623043,bulk,0.0002317603497736,1179648,9,dev_bulk
mp-626794,bulk,0.0001214287049622,1290240,20,dev_bulk
mp-631399,bulk,2.6101888650487133e-08,373248,4,dev_bulk
mp-644443,bulk,1.4268858040900056e-05,1376256,20,dev_bulk
mp-6586,bulk,0.0079124668848438,884736,10,dev_bulk
mp-675781,bulk,0.000460665323775,1935360,31,dev_bulk
mp-676693,bulk,2.1593718188661622e-05,870912,12,dev_bulk
mp-684706,bulk,0.0001167380925526,725760,8,dev_bulk
mp-733522,bulk,6.902953597354156e-05,2073600,54,dev_bulk
mp-733797,bulk,0.0807057255322734,1536000,28,dev_bulk
mp-7359,bulk,0.0001160906413915,725760,6,dev_bulk
mp-744554,bulk,0.0003469226146108,1769472,36,dev_bulk
mp-752546,bulk,0.0027379089043062,884736,13,dev_bulk
mp-752703,bulk,0.0014436895864813,592704,14,dev_bulk
mp-752866,bulk,3.141221448732523e-05,896000,16,dev_bulk
mp-753183,bulk,0.0028672461422578,1572864,24,dev_bulk
mp-753334,bulk,5.214810646148038e-05,896000,16,dev_bulk
mp-753392,bulk,0.001041823453824,442368,12,dev_bulk
mp-753521,bulk,0.0137650052566193,1474560,28,dev_bulk
mp-753554,bulk,0.0002752978038786,1792000,28,dev_bulk
mp-754196,bulk,0.0014459760611522,1835008,9,dev_bulk
mp-756647,bulk,0.0295377201297686,1658880,24,dev_bulk
mp-757220,bulk,0.0001726856518446,2293760,50,dev_bulk
mp-758622,bulk,0.0001616258729884,1344000,30,dev_bulk
mp-759554,bulk,0.0066757065209612,1612800,40,dev_bulk
mp-760266,bulk,7.206788220948113e-05,1881600,44,dev_bulk
mp-763177,bulk,8.848192282151501e-05,860160,24,dev_bulk
mp-7660,bulk,0.0016923062925329,512000,8,dev_bulk
mp-766093,bulk,0.0008389016375822,1990656,43,dev_bulk
mp-768842,bulk,0.0001415592092079,2560000,72,dev_bulk
mp-768987,bulk,0.0008829911222534,1548288,30,dev_bulk
mp-771133,bulk,0.0026737895306832,1290240,24,dev_bulk
mp-771903,bulk,0.0002049244931185,2097152,36,dev_bulk
mp-771968,bulk,6.032912295239612e-05,640000,18,dev_bulk
mp-772185,bulk,4.044438238270942e-05,1474560,30,dev_bulk
mp-773101,bulk,0.0002180692873343,2097152,38,dev_bulk
mp-776076,bulk,7.013368193664604e-05,2488320,40,dev_bulk
mp-776331,bulk,6.097211398170544e-05,987840,12,dev_bulk
mp-779079,bulk,0.0002473344416102,2097152,36,dev_bulk
mp-782011,bulk,0.0002086048139808,2177280,44,dev_bulk
mp-849339,bulk,0.0007145841710913,762048,18,dev_bulk
mp-864652,bulk,0.0002955406385574,2457600,24,dev_bulk
mp-864965,bulk,8.326443075112877e-05,512000,4,dev_bulk
mp-865006,bulk,0.0014349076966162,512000,4,dev_bulk
mp-865801,bulk,0.0063903877351414,512000,4,dev_bulk
mp-887511,bulk,0.0001522218534848,1492992,30,dev_bulk
mp-8881,bulk,1.4575270279593155e-05,622080,4,dev_bulk
mp-9437,bulk,7.96939379288375e-05,373248,3,dev_bulk
mp-975795,bulk,0.0032863446041027,884736,4,dev_bulk
mp-976076,bulk,0.0011303818196921,884736,4,dev_bulk
mp-977372,bulk,0.000423007748445,884736,4,dev_bulk
mp-982725,bulk,0.0002271760352972,373248,4,dev_bulk
mp-985702,bulk,0.001727229625569,979776,8,dev_bulk
mp-998512,bulk,0.0014966972922865,2007040,10,dev_bulk
mp-998613,bulk,5.688582985108326e-05,2097152,10,dev_bulk
mp-998744,bulk,0.0007463983271174,512000,5,dev_bulk
mp-999450,bulk,3.411583572177079e-05,2097152,4,dev_bulk
nomad---3hBedCnC_e,slab,0.0020343271871343,3870720,56,dev_slab
nomad--1YLlCXKIJKj,slab,0.0175747037224685,3870720,20,dev_slab
nomad--33WrhYeNt5f,slab,0.002030730889416,4128768,21,dev_slab
nomad--5wLHf6mG5_K,slab,0.0145742645005562,4128768,21,dev_slab
nomad--MeUbDBN9nIW,slab,0.0011611034284637,4838400,21,dev_slab
nomad--O7C25L6mxPu,slab,0.0003650124053802,3870720,20,dev_slab
nomad--g_dRNdo_53Q,slab,0.0041492853055,3276800,20,dev_slab
nomad--kEaPn7WzevZ,slab,0.0002800351880356,3981312,21,dev_slab
nomad--maT57oivXnQ,slab,0.0001575998697349,2073600,34,dev_slab
nomad--ydxPkR4Tatz,slab,0.0004143490394206,4423680,20,dev_slab
nomad-0-ostsntWIk9,slab,0.0016042510240428,3456000,21,dev_slab
nomad-064_5lUOyDQI,slab,0.0004263368779735,3981312,21,dev_slab
nomad-0HydAdmxidgt,slab,0.0093432276778777,4423680,21,dev_slab
nomad-0J594sjoAqDW,slab,0.0001374070002224,3096576,21,dev_slab
nomad-0JxkdxfFTtnZ,slab,0.0001087266878947,3317760,21,dev_slab
nomad-0kvBRPSc8RU6,slab,0.00079442640925,5760000,20,dev_slab
nomad-0pSeEEz7rc0X,slab,0.0081405416881192,3981312,20,dev_slab
nomad-0xMhYZKiiVKL,slab,0.0003503443494583,4128768,21,dev_slab
nomad-19wSfSWChOSI,slab,0.0003631936194992,4128768,20,dev_slab
nomad-1CIlfNcWTE4X,slab,0.0001667485730898,2073600,36,dev_slab
nomad-1DBJPWgjPfWO,slab,0.0015101169328737,4128768,21,dev_slab
nomad-1Few3hG0Dkat,slab,0.0006662639960026,4128768,21,dev_slab
nomad-1iTKfRU16qFo,slab,0.0010369235096838,6451200,21,dev_slab
nomad-1sSuZTi8blPO,slab,0.0095179188400056,5598720,21,dev_slab
nomad-1urv55npagDc,slab,0.0004829088404072,1720320,28,dev_slab
nomad-1xNwoQ8q8XXI,slab,0.0001906116011411,3870720,21,dev_slab
nomad-28WEed2y6N1X,slab,0.0013931589957749,6451200,21,dev_slab
nomad-2C9dg1L8liw7,slab,0.0030655017038423,4838400,21,dev_slab
nomad-2iwRdQb9gzT1,slab,0.0083140029338064,3276800,20,dev_slab
nomad-3Rqsfa2-hyu7,slab,0.0008083617657312,4354560,21,dev_slab
nomad-3ermMygSkKxT,slab,0.0002058479260114,3870720,51,dev_slab
nomad-4BR68d4gtTyq,slab,0.0001479865542322,3265920,46,dev_slab
nomad-4CA6DwNaypkT,slab,0.0193173609322769,4480000,20,dev_slab
nomad-4TmN2lwz6DHx,slab,0.0008750162410198,4838400,21,dev_slab
nomad-4U-g_t9kIPQS,slab,0.0008685390470333,5760000,21,dev_slab
nomad-4hOaTvLmAUuc,slab,0.0031950475887221,4128768,21,dev_slab
nomad-4khM-ZQ6rM_L,slab,0.0007182872518143,3870720,21,dev_slab
nomad-5HCYH3PtBIoR,slab,0.0016281512431675,5760000,21,dev_slab
nomad-5_7vAQzUevH0,slab,0.0108894146827349,4800000,21,dev_slab
nomad-61GFUgm3lTUg,slab,0.0012397744279351,3870720,52,dev_slab
nomad-6o4AmsigmNP5,slab,0.0017633256430755,3870720,54,dev_slab
nomad-6x45-ylTvOvZ,slab,0.0001121552801821,1720320,36,dev_slab
nomad-7OdXN2bFHmUg,slab,0.0009947194941029,3870720,56,dev_slab
nomad-8Hl4JATTj5Fp,slab,0.0006627906340828,3870720,20,dev_slab
nomad-8ZPelCNdN_TR,slab,0.0047776675066728,4128768,21,dev_slab
nomad-8eTSyDPSGSwy,slab,0.0007437615337284,3870720,58,dev_slab
nomad-8tU1rEspJ26T,slab,0.0227483395557364,6912000,20,dev_slab
nomad-9jQMkfdCbgX_,slab,0.0194289090052937,3870720,20,dev_slab
nomad-9xtsrVZD5SSK,slab,0.000652494997209,1474560,22,dev_slab
nomad-A5zDMCxBBUYc,slab,0.0079943846259098,4128768,21,dev_slab
nomad-AUrOZMeLzRg5,slab,0.0009551568918997,4800000,21,dev_slab
nomad-BMoyqNd6y06X,slab,0.0017552302878085,3870720,57,dev_slab
nomad-BbyKgzzvPkrI,slab,0.0021372911255452,3870720,47,dev_slab
nomad-BiuRBghVF7ns,slab,0.0151957981430683,5225472,21,dev_slab
nomad-CHORxT-fP4dV,slab,0.0005103544457547,1474560,22,dev_slab
nomad-E0rr8BI_hRlR,slab,0.0007720814013856,3870720,54,dev_slab
nomad-Ek0B30z0bVyP,slab,0.0005554226968991,3870720,57,dev_slab
nomad-FPTBoTAPMQA8,slab,4.996107986521281e-05,2073600,33,dev_slab
nomad-FVlJ8rpkyGT5,slab,7.735864647173685e-05,2073600,30,dev_slab
nomad-M8BV9zowas8w,slab,0.0007696345844117,3870720,52,dev_slab
nomad-MgLl-OZz9clr,slab,0.0002390436855339,165888,4,dev_slab
nomad-Q4xDULo89hwd,slab,0.0002174197968036,3265920,44,dev_slab
nomad-SzuB_oB4XzfT,slab,0.0002048681950421,3265920,48,dev_slab
