material_id,domain,seed,npoints,natoms,probe_linf,probe_rel_error,floor_f32_resolved_e,floor_noise_resolved_e,floor_noise_fixed_e,n_voxels_reassigned_f32,n_voxels_reassigned_noise,n_axis_order_flips_f32,n_axis_order_flips_noise,corpus
mp-1078524,bulk,3,653184,9,0.0002440375001242,4.9953443077859927e-08,7.5443153946253e-09,0.004845908883766,1.118731560723063e-07,0,171,0,96,dev_bulk
mp-1078524,bulk,4,653184,9,0.0002440375001242,4.9953443077859927e-08,7.5443153946253e-09,0.0044500012380499,9.222456753832377e-08,0,167,0,104,dev_bulk
mp-1079749,bulk,20260905,338688,10,1.523148438309363e-05,3.968856506538395e-08,3.8078766806393105e-09,0.0619759373235968,4.952226184684605e-09,0,1239,0,0,dev_bulk
mp-1079749,bulk,1,338688,10,1.523148438309363e-05,3.968856506538395e-08,3.8078766806393105e-09,2.9133035971335404,6.866053503529201e-09,0,60622,0,1,dev_bulk
mp-1079749,bulk,2,338688,10,1.523148438309363e-05,3.968856506538395e-08,3.8078766806393105e-09,2.913303595755809,9.667014744252356e-09,0,29623,0,0,dev_bulk
mp-1079749,bulk,3,338688,10,1.523148438309363e-05,3.968856506538395e-08,3.8078766806393105e-09,2.913303598409884,9.195133987560666e-09,0,30334,0,0,dev_bulk
mp-1079749,bulk,4,338688,10,1.523148438309363e-05,3.968856506538395e-08,3.8078766806393105e-09,2.913303595755813,7.227749954097362e-09,0,32108,0,3,dev_bulk
mp-1094905,bulk,20260905,276480,4,5.9840624999196734e-05,4.3858880375516596e-08,4.301579537013822e-09,0.0002046991999673,5.17333500482664e-08,0,10,0,93,dev_bulk
mp-1094905,bulk,1,276480,4,5.9840624999196734e-05,4.3858880375516596e-08,4.301579537013822e-09,0.0003569475820821,3.976242624048609e-08,0,12,0,85,dev_bulk
mp-1094905,bulk,2,276480,4,5.9840624999196734e-05,4.3858880375516596e-08,4.301579537013822e-09,9.647866743733856e-05,3.555944161348634e-08,0,12,0,83,dev_bulk
mp-1094905,bulk,3,276480,4,5.9840624999196734e-05,4.3858880375516596e-08,4.301579537013822e-09,7.413100914277493e-05,3.493455480452212e-08,0,7,0,92,dev_bulk
mp-1094905,bulk,4,276480,4,5.9840624999196734e-05,4.3858880375516596e-08,4.301579537013822e-09,0.0001752758839668,3.8003408420195235e-08,0,9,0,74,dev_bulk
mp-1096987,bulk,20260905,460800,10,0.0001209218748954,4.500229810051756e-08,1.2994014753076044e-08,0.1016264969600388,5.872009189999972e-08,0,9611,0,8,dev_bulk
mp-1096987,bulk,1,460800,10,0.0001209218748954,4.500229810051756e-08,1.2994014753076044e-08,0.0775387033400427,4.597679748030714e-08,0,10015,0,6,dev_bulk
mp-1096987,bulk,2,460800,10,0.0001209218748954,4.500229810051756e-08,1.2994014753076044e-08,0.0835929911713133,5.6140603277299306e-08,0,9776,0,7,dev_bulk
mp-1096987,bulk,3,460800,10,0.0001209218748954,4.500229810051756e-08,1.2994014753076044e-08,0.0782615615157666,4.7320412477347424e-08,0,9941,0,6,dev_bulk
mp-1096987,bulk,4,460800,10,0.0001209218748954,4.500229810051756e-08,1.2994014753076044e-08,0.1013127272757952,5.6137778869924666e-08,0,10631,0,5,dev_bulk
mp-1097014,bulk,20260905,2612736,20,0.0004846374995395,5.22223086790661e-08,1.8575470051018783e-09,3.1655615430281614e-05,8.559895814386209e-08,0,96,0,619,dev_bulk
mp-1097014,bulk,1,2612736,20,0.0004846374995395,5.22223086790661e-08,1.8575470051018783e-09,3.845358357068562e-05,7.946711644279959e-08,0,106,0,600,dev_bulk
mp-1097014,bulk,2,2612736,20,0.0004846374995395,5.22223086790661e-08,1.8575470051018783e-09,4.105425093392512e-05,8.731814915563518e-08,0,91,0,626,dev_bulk
mp-1097014,bulk,3,2612736,20,0.0004846374995395,5.22223086790661e-08,1.8575470051018783e-09,3.874372089285316e-05,8.810680185433739e-08,0,87,0,643,dev_bulk
mp-1097014,bulk,4,2612736,20,0.0004846374995395,5.22223086790661e-08,1.8575470051018783e-09,4.789610189881444e-05,9.796402622441749e-08,0,84,0,654,dev_bulk
mp-1100976,bulk,20260905,1204224,24,0.0001220656249643,3.302411154521277e-08,4.973404799102353e-09,7.085902675552092e-05,2.9662071909797305e-08,0,19,0,86,dev_bulk
mp-1100976,bulk,1,1204224,24,0.0001220656249643,3.302411154521277e-08,4.973404799102353e-09,7.085805553419533e-05,2.173973179253608e-08,0,34,0,71,dev_bulk
mp-1100976,bulk,2,1204224,24,0.0001220656249643,3.302411154521277e-08,4.973404799102353e-09,8.042828407628377e-05,2.5707145745457183e-08,0,23,0,89,dev_bulk
mp-1100976,bulk,3,1204224,24,0.0001220656249643,3.302411154521277e-08,4.973404799102353e-09,1.1648918950335483e-05,3.5069775528029374e-08,0,22,0,85,dev_bulk
mp-1100976,bulk,4,1204224,24,0.0001220656249643,3.302411154521277e-08,4.973404799102353e-09,7.08615939677415e-05,2.9255870614974814e-08,0,33,0,77,dev_bulk
mp-1103974,bulk,20260905,1000000,15,6.103281248215353e-05,3.2398494949379404e-08,2.781079366798167e-09,0.0007341501976156,1.8866854745169803e-08,0,52,0,16,dev_bulk
mp-1103974,bulk,1,1000000,15,6.103281248215353e-05,3.2398494949379404e-08,2.781079366798167e-09,0.0008897238021727,1.938833982251253e-08,0,60,0,14,dev_bulk
mp-1103974,bulk,2,1000000,15,6.103281248215353e-05,3.2398494949379404e-08,2.781079366798167e-09,0.0009891331278399,1.5229916883185982e-08,0,68,0,18,dev_bulk
mp-1103974,bulk,3,1000000,15,6.103281248215353e-05,3.2398494949379404e-08,2.781079366798167e-09,0.0008897165294676,1.4902818534778817e-08,0,38,0,17,dev_bulk
mp-1103974,bulk,4,1000000,15,6.103281248215353e-05,3.2398494949379404e-08,2.781079366798167e-09,0.0008414179436506,1.1342477179709933e-08,0,47,0,16,dev_bulk
mp-1104614,bulk,20260905,1152000,16,0.0002437749999444,3.6002231950234215e-08,3.949121918367382e-09,0.0001080913601461,8.597054890202571e-08,0,35,8,127,dev_bulk
mp-1104614,bulk,1,1152000,16,0.0002437749999444,3.6002231950234215e-08,3.949121918367382e-09,4.081352763130042e-05,8.370214210629001e-08,0,28,8,144,dev_bulk
mp-1104614,bulk,2,1152000,16,0.0002437749999444,3.6002231950234215e-08,3.949121918367382e-09,4.767570137431676e-05,1.038191870250671e-07,0,30,8,139,dev_bulk
mp-1104614,bulk,3,1152000,16,0.0002437749999444,3.6002231950234215e-08,3.949121918367382e-09,3.25494795632153e-05,5.796794155799034e-08,0,22,8,135,dev_bulk
mp-1104614,bulk,4,1152000,16,0.0002437749999444,3.6002231950234215e-08,3.949121918367382e-09,3.818817755085746e-05,7.57191855882411e-08,0,27,8,150,dev_bulk
mp-1105871,bulk,20260905,1881600,16,0.0001220687499881,3.3588158437338046e-08,0.0003896181122655,0.0010189463227865,1.841655716816604e-08,22,271,12,205,dev_bulk
mp-1105871,bulk,1,1881600,16,0.0001220687499881,3.3588158437338046e-08,0.0003896181122655,0.0017458346870578,2.1633489666328387e-08,22,159,12,201,dev_bulk
mp-1105871,bulk,2,1881600,16,0.0001220687499881,3.3588158437338046e-08,0.0003896181122655,0.0002601604680716,2.2897638451979677e-08,22,191,12,190,dev_bulk
mp-1105871,bulk,3,1881600,16,0.0001220687499881,3.3588158437338046e-08,0.0003896181122655,0.0015084207165338,2.8186132539076425e-08,22,260,12,197,dev_bulk
mp-1105871,bulk,4,1881600,16,0.0001220687499881,3.3588158437338046e-08,0.0003896181122655,0.0009588652921532,2.368635421134968e-08,22,174,12,208,dev_bulk
mp-1111338,bulk,20260905,884736,10,6.102968745835824e-05,3.1828850921561284e-08,0.0002349849335256,0.0031802639654054,1.9659523786685892e-08,81,4920,1782,9602,dev_bulk
mp-1111338,bulk,1,884736,10,6.102968745835824e-05,3.1828850921561284e-08,0.0002349849335256,0.0031918618467425,1.58485775614281e-08,81,5035,1782,9683,dev_bulk
mp-1111338,bulk,2,884736,10,6.102968745835824e-05,3.1828850921561284e-08,0.0002349849335256,0.003255713544366,2.4081676208709272e-08,81,4858,1782,9579,dev_bulk
mp-1111338,bulk,3,884736,10,6.102968745835824e-05,3.1828850921561284e-08,0.0002349849335256,0.0031429800128188,3.89362408981242e-08,81,4766,1782,9532,dev_bulk
mp-1111338,bulk,4,884736,10,6.102968745835824e-05,3.1828850921561284e-08,0.0002349849335256,0.0034288447017898,2.3919843883390968e-08,81,4889,1782,9648,dev_bulk
mp-1112138,bulk,20260905,1728000,10,0.0002438687497487,4.909631133295979e-08,0.0012818559043612,0.0026911401713034,4.1684842244649196e-08,1205,4457,15342,20659,dev_bulk
mp-1112138,bulk,1,1728000,10,0.0002438687497487,4.909631133295979e-08,0.0012818559043612,0.002232978637239,3.467172060567236e-08,1205,4343,15342,20464,dev_bulk
mp-1112138,bulk,2,1728000,10,0.0002438687497487,4.909631133295979e-08,0.0012818559043612,0.0025955316233829,3.4871073140152475e-08,1205,4696,15342,20390,dev_bulk
mp-1112138,bulk,3,1728000,10,0.0002438687497487,4.909631133295979e-08,0.0012818559043612,0.0023509240614911,7.5454740233738e-08,1205,4317,15342,20423,dev_bulk
mp-1112138,bulk,4,1728000,10,0.0002438687497487,4.909631133295979e-08,0.0012818559043612,0.0024720867429905,5.1784612153937815e-08,1205,4317,15342,20387,dev_bulk
mp-1114492,bulk,20260905,2744000,10,6.103437499405118e-05,3.7138696603714754e-08,2.2647359543270795e-09,0.0040667292966807,1.0873165479097224e-08,0,5782,11275,50604,dev_bulk
mp-1114492,bulk,1,2744000,10,6.103437499405118e-05,3.7138696603714754e-08,2.2647359543270795e-09,0.0040834267154448,1.2487702427677052e-08,0,5949,11275,50475,dev_bulk
mp-1114492,bulk,2,2744000,10,6.103437499405118e-05,3.7138696603714754e-08,2.2647359543270795e-09,0.0039283557572078,1.1207887951059092e-08,0,5818,11275,50406,dev_bulk
mp-1114492,bulk,3,2744000,10,6.103437499405118e-05,3.7138696603714754e-08,2.2647359543270795e-09,0.0040716142530321,1.402228466673705e-08,0,6036,11275,50520,dev_bulk
mp-1114492,bulk,4,2744000,10,6.103437499405118e-05,3.7138696603714754e-08,2.2647359543270795e-09,0.0039681683691474,2.1056711929645644e-08,0,5858,11275,50574,dev_bulk
mp-11306,bulk,20260905,663552,8,6.101093754296016e-05,3.3563687690352576e-08,0.0002335585305495,0.001532377383393,2.14556798994181e-08,24,488,4,19,dev_bulk
mp-11306,bulk,1,663552,8,6.101093754296016e-05,3.3563687690352576e-08,0.0002335585305495,0.0004337010046384,3.582295882154085e-08,24,505,4,22,dev_bulk
mp-11306,bulk,2,663552,8,6.101093754296016e-05,3.3563687690352576e-08,0.0002335585305495,0.0022630580329892,2.1749530176862212e-08,24,469,4,24,dev_bulk
mp-11306,bulk,3,663552,8,6.101093754296016e-05,3.3563687690352576e-08,0.0002335585305495,0.0019749991418329,2.9979638327404246e-08,24,464,4,24,dev_bulk
mp-11306,bulk,4,663552,8,6.101093754296016e-05,3.3563687690352576e-08,0.0002335585305495,0.0013132690453119,2.3199833165676864e-08,24,494,4,25,dev_bulk
mp-11419,bulk,20260905,373248,3,5.859375005456968e-05,5.1531746531293964e-08,8.935190365377821e-09,0.0328107202440346,7.657324374577001e-08,0,1929,3327,6435,dev_bulk
mp-11419,bulk,1,373248,3,5.859375005456968e-05,5.1531746531293964e-08,8.935190365377821e-09,0.0321289645069118,1.8510366572854764e-08,0,2575,3327,6511,dev_bulk
mp-11419,bulk,2,373248,3,5.859375005456968e-05,5.1531746531293964e-08,8.935190365377821e-09,0.0288286278025307,9.97491333976086e-09,0,2228,3327,6522,dev_bulk
mp-11419,bulk,3,373248,3,5.859375005456968e-05,5.1531746531293964e-08,8.935190365377821e-09,0.0291859238148202,3.893610056593389e-08,0,2516,3327,6464,dev_bulk
mp-11419,bulk,4,373248,3,5.859375005456968e-05,5.1531746531293964e-08,8.935190365377821e-09,0.0237961747324284,1.669420868211091e-08,0,2234,3327,6509,dev_bulk
mp-1173587,bulk,20260905,2621440,40,0.0004881624990957,3.850939773338655e-08,6.385545293641215e-06,0.0013024555625946,8.273566454164438e-08,2,224,8,472,dev_bulk
mp-1173587,bulk,1,2621440,40,0.0004881624990957,3.850939773338655e-08,6.385545293641215e-06,0.000615280171651,5.8583013107238464e-08,2,146,8,479,dev_bulk
mp-1173587,bulk,2,2621440,40,0.0004881624990957,3.850939773338655e-08,6.385545293641215e-06,0.0012882301841328,6.945613773012839e-08,2,227,8,514,dev_bulk
mp-1173587,bulk,3,2621440,40,0.0004881624990957,3.850939773338655e-08,6.385545293641215e-06,0.0009971599062934,6.825827369993931e-08,2,165,8,448,dev_bulk
mp-1173587,bulk,4,2621440,40,0.0004881624990957,3.850939773338655e-08,6.385545293641215e-06,0.0012585281796084,6.96950168688204e-08,2,178,8,462,dev_bulk
mp-1174037,bulk,20260905,537600,16,6.089687508392672e-05,4.9609797137303356e-08,4.771009365356349e-09,2.9847240607061565e-05,3.04930676264803e-08,0,4,0,11,dev_bulk
mp-1174037,bulk,1,537600,16,6.089687508392672e-05,4.9609797137303356e-08,4.771009365356349e-09,1.8895824167586284e-05,3.088686462149326e-08,0,4,0,11,dev_bulk
