material_id,stratum,domain,stability_floor_a1_e,n_seeds,floor_min_over_seeds_e,stability_floor_a_e,threshold_e,status,reason,status_under_protocol_a
aflow-B6H2O13Sr3_ICSD_262541,ext_bulk,bulk,6.738628e-05,5,2.781829e-05,1.838827e-09,0.0001,ELIGIBLE,,ELIGIBLE
aflow-B6H2O13Sr3_ICSD_262541,ext_bulk,bulk,6.738628e-05,5,2.781829e-05,1.838827e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-B6H2O13Sr3_ICSD_262541,ext_bulk,bulk,6.738628e-05,5,2.781829e-05,1.838827e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-Ba1C1Si1_ICSD_168412,ext_bulk,bulk,5.748557e-05,5,2.825073e-05,1.954593e-09,0.0001,ELIGIBLE,,ELIGIBLE
aflow-Ba1C1Si1_ICSD_168412,ext_bulk,bulk,5.748557e-05,5,2.825073e-05,1.954593e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-Ba1C1Si1_ICSD_168412,ext_bulk,bulk,5.748557e-05,5,2.825073e-05,1.954593e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-C1_ICSD_290661,ext_bulk,bulk,0.0004952665,5,1.735131e-05,6.424248e-10,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 4.953e-04 >= threshold 0.0001,ELIGIBLE
aflow-C1_ICSD_290661,ext_bulk,bulk,0.0004952665,5,1.735131e-05,6.424248e-10,0.001,ELIGIBLE,,ELIGIBLE
aflow-C1_ICSD_290661,ext_bulk,bulk,0.0004952665,5,1.735131e-05,6.424248e-10,0.01,ELIGIBLE,,ELIGIBLE
aflow-Ca1O4U1_ICSD_246962,ext_bulk,bulk,0.0003760204,5,9.871922e-05,0.0001000967,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 3.760e-04 >= threshold 0.0001,NON_EVALUABLE_BADER_UNSTABLE
aflow-Ca1O4U1_ICSD_246962,ext_bulk,bulk,0.0003760204,5,9.871922e-05,0.0001000967,0.001,ELIGIBLE,,ELIGIBLE
aflow-Ca1O4U1_ICSD_246962,ext_bulk,bulk,0.0003760204,5,9.871922e-05,0.0001000967,0.01,ELIGIBLE,,ELIGIBLE
aflow-Ca3O12Sc2Si3_ICSD_156537,ext_bulk,bulk,0.001482286,5,0.0009410311,0.0003576873,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.482e-03 >= threshold 0.0001,NON_EVALUABLE_BADER_UNSTABLE
aflow-Ca3O12Sc2Si3_ICSD_156537,ext_bulk,bulk,0.001482286,5,0.0009410311,0.0003576873,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.482e-03 >= threshold 0.001,ELIGIBLE
aflow-Ca3O12Sc2Si3_ICSD_156537,ext_bulk,bulk,0.001482286,5,0.0009410311,0.0003576873,0.01,ELIGIBLE,,ELIGIBLE
aflow-Ce1O4Sr2_ICSD_86768,ext_bulk,bulk,0.0006855912,5,0.0001832191,1.831019e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 6.856e-04 >= threshold 0.0001,ELIGIBLE
