cohort,threshold_e,stratum,codec,n_admitted,n_non_evaluable,n_certified,frac_certified,ratio_median,ratio_median_ci_lo,ratio_median_ci_hi,ratio_p10,ratio_q1,ratio_q3,ratio_p90,n_row_failure_affected
development,0.01,overall,ZFP,229,25,225,0.982532751091703,31.89847130083646,29.884431300828822,34.01667805878332,19.840651588736456,23.9537635636779,43.46138921226232,52.614937547324445,0
development,0.01,bulk,SPERR,168,18,161,0.9583333333333334,11.510742267135877,10.12826234875516,13.241847341156024,7.446860438271226,8.84115280343976,58.95940933503388,112.4369660470979,0
development,0.01,bulk,SZ3,168,18,160,0.9523809523809523,51.77969414519157,47.69493441485609,60.30696879570302,25.517239710322116,38.77215288113308,78.4979794005036,105.60928510824762,0
development,0.01,bulk,ZFP,168,18,166,0.9880952380952381,30.01965330038169,27.0530934019328,31.861606784438848,20.029769374301825,23.79286282937533,39.0342357585886,48.1582499893986,0
development,0.01,slab,SPERR,61,7,47,0.7704918032786885,8.097571180519235,7.684321018844518,8.644115994475955,6.864874613382991,7.323573939738257,10.415024051831534,10.579383898162012,0
development,0.01,slab,SZ3,61,7,47,0.7704918032786885,67.75170239138666,59.57740808560928,70.63602570162104,33.697139931046415,45.125310475583106,79.16614572824238,119.0212733922245,0
development,0.01,slab,ZFP,61,7,59,0.9672131147540983,40.451044529674256,35.794635271270785,44.89717328013177,19.758330630158802,30.154569463336937,48.96547968179624,56.90753278471496,0
external_confirmatory63,0.0001,overall,ZFP,16,47,16,1.0,13.026955334522793,7.08865140829836,20.433066065510005,6.437108272006425,7.0655295190060405,20.434305395438187,27.087155014322857,0
external_confirmatory63,0.0001,overall,SZ3,16,47,14,0.875,12.05641532174944,7.2803903976946245,17.722171643876365,4.882477852630735,7.642282810292677,17.631473776281887,22.863303997260132,0
external_confirmatory63,0.0001,overall,SPERR,16,47,14,0.875,5.166244307775848,4.234423478518318,6.230268532739961,3.938965500892942,4.170899797571474,6.121266891796693,10.808618274328758,0
external_confirmatory63,0.0001,bulk,ZFP,9,27,9,1.0,7.08865140829836,6.250916721422667,20.18977202711029,6.220900092035895,6.623299822590183,8.46393292189215,20.385398721772606,0
external_confirmatory63,0.0001,bulk,SZ3,9,27,7,0.7777777777777778,7.250411941601096,4.513731769891695,17.359380173498444,4.511319420040422,5.128308574456762,13.088637794932932,19.78670855722459,0
external_confirmatory63,0.0001,bulk,SPERR,9,27,8,0.8888888888888888,4.295384455101104,3.875953423053333,11.127349337472973,3.7763887796355635,4.033483617652355,10.330521679612431,15.164479807730658,0
external_confirmatory63,0.0001,vacuum2d,ZFP,7,20,7,1.0,19.698226630598136,14.863017840943453,27.764344533587522,13.394167835806924,15.338367821358498,27.087155014322857,31.954078946696782,0
external_confirmatory63,0.0001,vacuum2d,SZ3,7,20,7,1.0,17.14807162909864,9.92334273688385,21.5463773476349,9.646182781604649,12.05641532174944,19.634274495755633,35.32771247686877,0
external_confirmatory63,0.0001,vacuum2d,SPERR,7,20,6,0.8571428571428571,5.498131641010582,4.745938428332835,6.012265250853425,4.745938428332835,5.137633944961789,5.788896038879466,6.012265250853425,0
external_confirmatory63,0.001,overall,ZFP,42,21,42,1.0,18.756362671614752,14.267460287357917,25.03549362934784,8.449105237899511,11.730087110217692,27.57380533876347,43.90598699137351,0
external_confirmatory63,0.001,overall,SZ3,42,21,42,1.0,18.758628450928306,12.138998379803327,24.559848823000713,6.074479772146508,9.851473470021203,26.143448613045933,45.285589731976806,0
external_confirmatory63,0.001,overall,SPERR,42,21,41,0.9761904761904762,6.4030185658953505,5.87635384656258,6.883640105178919,4.790150553645015,5.444309065303733,7.153991802717726,13.79723417413387,0
external_confirmatory63,0.001,bulk,ZFP,21,15,21,1.0,11.21502011622709,9.706638205844767,13.88774076217244,5.515480370252154,9.202012940330697,15.674788132945796,27.171119133574006,0
