material,domain,role,codec,relative_tolerance,comparison_solver,baderkit_error_e,comparison_error_e,comparison_over_baderkit,above_2e-6_print_region,baseline_max_abs_charge_diff_e,baseline_compatible_1e-3
mp-214,bulk,low,ZFP,0.001,henkelman_ongrid,0.008178191300000748,0.00817799999999913,0.9999766085195858,True,1.0909999836883344e-07,True
mp-214,bulk,low,ZFP,0.001,henkelman_neargrid,0.008178191300000748,0.001200000000000756,0.1467317107146474,True,0.0046989051999997145,False
mp-214,bulk,low,SZ3,0.0001,henkelman_ongrid,0.006968982700000126,0.006968999999999781,1.0000024824282683,True,1.0909999836883344e-07,True
mp-214,bulk,low,SZ3,0.0001,henkelman_neargrid,0.006968982700000126,0.003659000000000745,0.5250407638407079,True,0.0046989051999997145,False
mp-214,bulk,low,SZ3,0.001,henkelman_ongrid,0.010592715099999594,0.03802100000000053,3.5893535926404727,True,1.0909999836883344e-07,True
mp-214,bulk,low,SZ3,0.001,henkelman_neargrid,0.010592715099999594,0.02566199999999874,2.4226083452390523,True,0.0046989051999997145,False
mp-214,bulk,low,SPERR,0.0001,henkelman_ongrid,0.0015520216000002307,0.0015519999999984435,0.9999860826667701,True,1.0909999836883344e-07,True
mp-214,bulk,low,SPERR,0.0001,henkelman_neargrid,0.0015520216000002307,0.0011799999999997368,0.7602986968735238,True,0.0046989051999997145,False
mp-214,bulk,low,SPERR,0.001,henkelman_ongrid,0.015426055100000724,0.015425999999999718,0.9999964281210816,True,1.0909999836883344e-07,True
mp-214,bulk,low,SPERR,0.001,henkelman_neargrid,0.015426055100000724,0.016750000000000043,1.0858252412179739,True,0.0046989051999997145,False
mp-1178256,bulk,median,ZFP,0.0001,henkelman_ongrid,0.0020254824999996757,0.0020250000000006096,0.9997617851553563,True,4.791000005610613e-07,True
mp-1178256,bulk,median,ZFP,0.0001,henkelman_neargrid,0.0020254824999996757,0.00035299999999871545,0.1742794618066421,True,0.005585078600000237,False
mp-1178256,bulk,median,ZFP,0.001,henkelman_ongrid,0.003103037800000763,0.003102999999999412,0.9999878183883705,True,4.791000005610613e-07,True
mp-1178256,bulk,median,ZFP,0.001,henkelman_neargrid,0.003103037800000763,0.0009660000000000224,0.3113078416253211,True,0.005585078600000237,False
mp-1178256,bulk,median,SZ3,0.0001,henkelman_ongrid,0.006088071499999792,0.006088000000000093,0.9999882557227361,True,4.791000005610613e-07,True
mp-1178256,bulk,median,SZ3,0.0001,henkelman_neargrid,0.006088071499999792,0.0018830000000011893,0.3092933451917005,True,0.005585078600000237,False
mp-1178256,bulk,median,SZ3,0.001,henkelman_ongrid,0.017271099799999412,0.017215000000000202,0.9967518107909253,True,4.791000005610613e-07,True
mp-1178256,bulk,median,SZ3,0.001,henkelman_neargrid,0.017271099799999412,0.017681000000000502,1.0237333004121199,True,0.005585078600000237,False
mp-1178256,bulk,median,SPERR,0.0001,henkelman_ongrid,0.010632465999998786,0.010632000000001085,0.9999561719738675,True,4.791000005610613e-07,True
mp-1178256,bulk,median,SPERR,0.0001,henkelman_neargrid,0.010632465999998786,0.0026710000000012,0.2512117132565018,True,0.005585078600000237,False
mp-1178256,bulk,median,SPERR,0.001,henkelman_ongrid,0.014336063400000043,0.02104999999999979,1.4683249796453697,True,4.791000005610613e-07,True
mp-1178256,bulk,median,SPERR,0.001,henkelman_neargrid,0.014336063400000043,0.01996300000000062,1.3925022122879673,True,0.005585078600000237,False
mp-1261118,bulk,median,ZFP,0.0001,henkelman_ongrid,0.006409089299999948,0.006409000000000109,0.9999860666631936,True,2.3568499999626624e-05,True
mp-1261118,bulk,median,ZFP,0.0001,henkelman_neargrid,0.006409089299999948,0.0014349999999989649,0.22390076543308213,True,0.2033864314999998,False
mp-1261118,bulk,median,ZFP,0.001,henkelman_ongrid,0.06850942250000003,0.06850899999999882,0.9999938329650756,True,2.3568499999626624e-05,True
mp-1261118,bulk,median,ZFP,0.001,henkelman_neargrid,0.06850942250000003,0.012596999999999525,0.18387251768177612,True,0.2033864314999998,False
mp-1261118,bulk,median,SZ3,0.0001,henkelman_ongrid,0.05660401220000111,0.05980699999999928,1.0565858792603062,True,2.3568499999626624e-05,True
mp-1261118,bulk,median,SZ3,0.0001,henkelman_neargrid,0.05660401220000111,0.024410000000001375,0.4312415154203662,True,0.2033864314999998,False
mp-1261118,bulk,median,SZ3,0.001,henkelman_ongrid,0.7618635367,0.31409599999999926,0.4122733073176086,True,2.3568499999626624e-05,True
mp-1261118,bulk,median,SZ3,0.001,henkelman_neargrid,0.7618635367,0.34497299999999953,0.4528015627237454,True,0.2033864314999998,False
mp-1261118,bulk,median,SPERR,0.0001,henkelman_ongrid,0.015074990799998744,0.015074999999999505,1.0000006102823467,True,2.3568499999626624e-05,True
mp-1261118,bulk,median,SPERR,0.0001,henkelman_neargrid,0.015074990799998744,0.006185000000000329,0.41028217410261003,True,0.2033864314999998,False
mp-1261118,bulk,median,SPERR,0.001,henkelman_ongrid,0.09330304220000052,0.08595500000000023,0.9212454167973502,True,2.3568499999626624e-05,True
mp-1261118,bulk,median,SPERR,0.001,henkelman_neargrid,0.09330304220000052,0.07895899999999934,0.8462639388622089,True,0.2033864314999998,False
mp-30772,bulk,high,ZFP,0.0001,henkelman_ongrid,0.18723854809999985,3.969531,21.20039404428603,True,2.4317834395999993,False
mp-30772,bulk,high,ZFP,0.0001,henkelman_neargrid,0.18723854809999985,4.940688,26.387130482133898,True,2.4588684396,False
mp-30772,bulk,high,ZFP,0.001,henkelman_ongrid,2.424713154600001,3.060085000000001,1.2620400042762236,True,2.4317834395999993,False
mp-30772,bulk,high,ZFP,0.001,henkelman_neargrid,2.424713154600001,3.741309000000001,1.5429903503852587,True,2.4588684396,False
mp-30772,bulk,high,SZ3,0.0001,henkelman_ongrid,2.3233733253999995,2.209627000000001,0.9510425964882697,True,2.4317834395999993,False
mp-30772,bulk,high,SZ3,0.0001,henkelman_neargrid,2.3233733253999995,1.9598820000000003,0.8435501856605764,True,2.4588684396,False
mp-30772,bulk,high,SZ3,0.001,henkelman_ongrid,1.2748520297,3.410399,2.6751332080496746,True,2.4317834395999993,False
mp-30772,bulk,high,SZ3,0.001,henkelman_neargrid,1.2748520297,3.5021400000000007,2.7470952851086015,True,2.4588684396,False
mp-30772,bulk,high,SPERR,0.0001,henkelman_ongrid,2.5971400090000003,3.4471310000000006,1.3272796183703934,True,2.4317834395999993,False
mp-30772,bulk,high,SPERR,0.0001,henkelman_neargrid,2.5971400090000003,3.140745000000001,1.2093090819579302,True,2.4588684396,False
mp-30772,bulk,high,SPERR,0.001,henkelman_ongrid,1.8335692372999999,4.001972,2.1826129706959176,True,2.4317834395999993,False
mp-30772,bulk,high,SPERR,0.001,henkelman_neargrid,1.8335692372999999,3.950489000000001,2.154534947268883,True,2.4588684396,False
mp-1079749,bulk,high,ZFP,0.0001,henkelman_ongrid,0.10923852260000011,0.15116099999999988,1.3837700877144572,True,1.532174,False
mp-1079749,bulk,high,ZFP,0.0001,henkelman_neargrid,0.10923852260000011,0.15244499999999994,1.395524182968031,True,1.620408,False
mp-1079749,bulk,high,ZFP,0.001,henkelman_ongrid,0.07725950230000045,0.15434799999999993,1.9977866204814916,True,1.532174,False
mp-1079749,bulk,high,ZFP,0.001,henkelman_neargrid,0.07725950230000045,0.1526749999999999,1.97613232618506,True,1.620408,False
mp-1079749,bulk,high,SZ3,0.0001,henkelman_ongrid,2.9204597884,0.15167599999999992,0.05193565773528317,True,1.532174,False
mp-1079749,bulk,high,SZ3,0.0001,henkelman_neargrid,2.9204597884,0.1898219999999995,0.06499729965602272,True,1.620408,False
mp-1079749,bulk,high,SZ3,0.001,henkelman_ongrid,2.9215193195,0.15945699999999996,0.05458016277205041,True,1.532174,False
mp-1079749,bulk,high,SZ3,0.001,henkelman_neargrid,2.9215193195,0.15595999999999988,0.05338318283881534,True,1.620408,False
mp-1079749,bulk,high,SPERR,0.0001,henkelman_ongrid,2.9190639731,0.15435599999999994,0.052878594447546924,True,1.532174,False
mp-1079749,bulk,high,SPERR,0.0001,henkelman_neargrid,2.9190639731,0.152941,0.052393850018154636,True,1.620408,False
mp-1079749,bulk,high,SPERR,0.001,henkelman_ongrid,2.9223172335,0.15464600000000006,0.05291896383705875,True,1.532174,False
mp-1079749,bulk,high,SPERR,0.001,henkelman_neargrid,2.9223172335,0.15383999999999998,0.052643155314027607,True,1.620408,False
nomad-FPTBoTAPMQA8,slab,low,ZFP,0.0001,henkelman_ongrid,0.0015430046000002307,0.00154299999999985,0.9999970188031969,True,4.7009999981639794e-07,True
nomad-FPTBoTAPMQA8,slab,low,ZFP,0.0001,henkelman_neargrid,0.0015430046000002307,0.0006629999999994141,0.4296811558431614,True,0.07158201299999867,False
nomad-FPTBoTAPMQA8,slab,low,ZFP,0.001,henkelman_ongrid,0.004429955100000882,0.004430000000001044,1.0000101355429454,True,4.7009999981639794e-07,True
nomad-FPTBoTAPMQA8,slab,low,ZFP,0.001,henkelman_neargrid,0.004429955100000882,0.0019649999999993284,0.44357108721010224,True,0.07158201299999867,False
nomad-FPTBoTAPMQA8,slab,low,SZ3,0.0001,henkelman_ongrid,0.0053400852999985204,0.0053400000000003445,0.9999840264727277,True,4.7009999981639794e-07,True
nomad-FPTBoTAPMQA8,slab,low,SZ3,0.0001,henkelman_neargrid,0.0053400852999985204,0.0026049999999999685,0.48781992302645244,True,0.07158201299999867,False
nomad-FPTBoTAPMQA8,slab,low,SZ3,0.001,henkelman_ongrid,0.07950924689999983,0.05769499999999983,0.7256388690558702,True,4.7009999981639794e-07,True
nomad-FPTBoTAPMQA8,slab,low,SZ3,0.001,henkelman_neargrid,0.07950924689999983,0.044442999999999344,0.5589664313623305,True,0.07158201299999867,False
nomad-FPTBoTAPMQA8,slab,low,SPERR,0.0001,henkelman_ongrid,0.01286895039999969,0.011033000000000293,0.8573348763548392,True,4.7009999981639794e-07,True
nomad-FPTBoTAPMQA8,slab,low,SPERR,0.0001,henkelman_neargrid,0.01286895039999969,0.005005,0.3889206069206794,True,0.07158201299999867,False
nomad-FPTBoTAPMQA8,slab,low,SPERR,0.001,henkelman_ongrid,0.9125353863000001,0.071912,0.07880461522876069,True,4.7009999981639794e-07,True
nomad-FPTBoTAPMQA8,slab,low,SPERR,0.001,henkelman_neargrid,0.9125353863000001,0.066229,0.07257691153055945,True,0.07158201299999867,False
nomad-ZvTQv6REajO4,slab,low,ZFP,0.0001,henkelman_ongrid,0.0011350343999998458,0.0011350000000005522,0.9999696925491478,True,4.654000003156966e-07,True
nomad-ZvTQv6REajO4,slab,low,ZFP,0.0001,henkelman_neargrid,0.0011350343999998458,0.002940000000000609,2.5902298643997117,True,0.02857995190000029,False
nomad-ZvTQv6REajO4,slab,low,ZFP,0.001,henkelman_ongrid,0.0038853025999996404,0.003906999999999883,1.0055844813735344,True,4.654000003156966e-07,True
nomad-ZvTQv6REajO4,slab,low,ZFP,0.001,henkelman_neargrid,0.0038853025999996404,0.0028620000000003643,0.736622161681983,True,0.02857995190000029,False
nomad-ZvTQv6REajO4,slab,low,SZ3,0.0001,henkelman_ongrid,0.004983575499999837,0.00477399999999939,0.9579467593095652,True,4.654000003156966e-07,True
nomad-ZvTQv6REajO4,slab,low,SZ3,0.0001,henkelman_neargrid,0.004983575499999837,0.002322999999999631,0.4661311943602955,True,0.02857995190000029,False
nomad-ZvTQv6REajO4,slab,low,SZ3,0.001,henkelman_ongrid,0.05763653280000014,0.06447099999999928,1.1185787358811965,True,4.654000003156966e-07,True
nomad-ZvTQv6REajO4,slab,low,SZ3,0.001,henkelman_neargrid,0.05763653280000014,0.06123299999999965,1.0623990900437976,True,0.02857995190000029,False
nomad-ZvTQv6REajO4,slab,low,SPERR,0.0001,henkelman_ongrid,0.006966924199999447,0.006403000000000603,0.9190569347662935,True,4.654000003156966e-07,True
nomad-ZvTQv6REajO4,slab,low,SPERR,0.0001,henkelman_neargrid,0.006966924199999447,0.0020690000000005426,0.29697466781692655,True,0.02857995190000029,False
nomad-ZvTQv6REajO4,slab,low,SPERR,0.001,henkelman_ongrid,0.5470535337000006,0.042772,0.07818613237119822,True,4.654000003156966e-07,True
nomad-ZvTQv6REajO4,slab,low,SPERR,0.001,henkelman_neargrid,0.5470535337000006,0.035968,0.06574859275056714,True,0.02857995190000029,False
nomad-0kvBRPSc8RU6,slab,median,ZFP,0.0001,henkelman_ongrid,0.004513447900000855,0.0036000000000004917,0.7976163854688141,True,0.19821570669999922,False
nomad-0kvBRPSc8RU6,slab,median,ZFP,0.0001,henkelman_neargrid,0.004513447900000855,0.001782999999999646,0.39504167091400527,True,0.22504356940000037,False
nomad-0kvBRPSc8RU6,slab,median,ZFP,0.001,henkelman_ongrid,0.1563030284,0.11802899999999994,0.7551293228813726,True,0.19821570669999922,False
nomad-0kvBRPSc8RU6,slab,median,ZFP,0.001,henkelman_neargrid,0.1563030284,0.18418899999999994,1.1784096692524477,True,0.22504356940000037,False
nomad-0kvBRPSc8RU6,slab,median,SZ3,0.0001,henkelman_ongrid,0.18852962939999962,0.21224799999999888,1.1258071247234909,True,0.19821570669999922,False
nomad-0kvBRPSc8RU6,slab,median,SZ3,0.0001,henkelman_neargrid,0.18852962939999962,0.1936080000000011,1.0269367240372962,True,0.22504356940000037,False
nomad-0kvBRPSc8RU6,slab,median,SZ3,0.001,henkelman_ongrid,0.4456741864999998,0.44759499999999974,1.0043099052136824,True,0.19821570669999922,False
nomad-0kvBRPSc8RU6,slab,median,SZ3,0.001,henkelman_neargrid,0.4456741864999998,0.48593399999999853,1.0903346317097025,True,0.22504356940000037,False
nomad-0kvBRPSc8RU6,slab,median,SPERR,0.0001,henkelman_ongrid,0.23074413760000034,0.19149200000000022,0.8298889063520023,True,0.19821570669999922,False
nomad-0kvBRPSc8RU6,slab,median,SPERR,0.0001,henkelman_neargrid,0.23074413760000034,0.24938399999999916,1.080781521012297,True,0.22504356940000037,False
nomad-3Rqsfa2-hyu7,slab,median,ZFP,0.0001,henkelman_ongrid,0.011183431600001015,0.011182999999999055,0.999961407194375,True,4.6259999919584516e-07,True
nomad-3Rqsfa2-hyu7,slab,median,ZFP,0.0001,henkelman_neargrid,0.011183431600001015,0.04379199999999983,3.9157927160743626,True,0.08755979560000071,False
nomad-3Rqsfa2-hyu7,slab,median,ZFP,0.001,henkelman_ongrid,0.023701867599999815,0.023700999999999084,0.9999633952895454,True,4.6259999919584516e-07,True
nomad-3Rqsfa2-hyu7,slab,median,ZFP,0.001,henkelman_neargrid,0.023701867599999815,0.03202699999999936,1.3512437306838898,True,0.08755979560000071,False
nomad-3Rqsfa2-hyu7,slab,median,SZ3,0.0001,henkelman_ongrid,0.06911375109999973,0.06911399999999901,1.0000036013093678,True,4.6259999919584516e-07,True
nomad-3Rqsfa2-hyu7,slab,median,SZ3,0.0001,henkelman_neargrid,0.06911375109999973,0.10251500000000036,1.4832793527828176,True,0.08755979560000071,False
nomad-3Rqsfa2-hyu7,slab,median,SZ3,0.001,henkelman_ongrid,0.14659754120000024,0.1781449999999989,1.2151977348444,True,4.6259999919584516e-07,True
nomad-3Rqsfa2-hyu7,slab,median,SZ3,0.001,henkelman_neargrid,0.14659754120000024,0.2109810000000003,1.4391851205209707,True,0.08755979560000071,False
nomad-3Rqsfa2-hyu7,slab,median,SPERR,0.0001,henkelman_ongrid,0.08095580210000008,0.07488599999999934,0.9250232603155106,True,4.6259999919584516e-07,True
nomad-3Rqsfa2-hyu7,slab,median,SPERR,0.0001,henkelman_neargrid,0.08095580210000008,0.06277700000000053,0.7754478168526535,True,0.08755979560000071,False
