material_id,system_type,codec_a,codec_b,linf_a,linf_b,linf_ratio,abs_log10_linf_diff,qoi_a,qoi_b,qoi_ratio,ladder_a,ladder_b,nominal_rel_a,nominal_rel_b
mp-1193567,bulk,SPERR,ZFP,1.3580275376591429,1.4476845899999944,0.938068656004101,0.027765375019044913,0.0093167777773537,0.004572438002329,2.0375952112654434,base,base,0.0003,0.003
mp-1193567,bulk,SPERR,ZFP,4.526625018947307,5.175616760000025,0.8746059124646789,0.058187591086627966,0.0249881747655518,0.0144769778856801,1.726062922999202,base,base,0.001,0.01
mp-1194734,bulk,SPERR,ZFP,0.0197320818209902,0.0159803550000106,1.234771181302112,0.09158648479813514,0.0003003859352315,9.859667279599194e-05,3.04661330563389,tight,base,3e-06,1e-05
mp-1194734,bulk,SPERR,ZFP,0.1973064371754844,0.2370219437500509,0.8324395372588452,0.07964730087082628,0.0008769166920288,0.0002813268540604,3.117074247880114,base,base,3e-05,0.0003
mp-1194734,bulk,SPERR,ZFP,0.6576813911154886,0.759757785000005,0.8656461363084081,0.06265960504457743,0.0020708534569084,0.0014240354627164,1.4542148079361528,base,base,0.0001,0.001
mp-1194734,bulk,SPERR,ZFP,1.9698219429340045,2.386650120000013,0.825350111617531,0.08336178564519553,0.0028543568998848,0.0054238500966858,0.5262602854066583,base,base,0.0003,0.003
mp-1194734,bulk,SPERR,ZFP,19.65150301725862,19.864233400000103,0.9892907831650084,0.004676037055435733,0.0153611403030886,0.1738763995650156,0.08834517129131596,base,base,0.003,0.03
mp-1197354,bulk,SPERR,ZFP,1.286303731893895,1.3439242599999943,0.9571251670789099,0.019031264086128652,0.0117914680502293,0.0064815337348909,1.8192404039732701,base,base,0.0003,0.003
mp-1197354,bulk,SPERR,ZFP,42.87384600673733,38.53307960000007,1.1126503890111408,0.04635872410557562,0.053554587199958,0.0255118983059539,2.0992004027963524,base,base,0.01,0.1
mp-1199510,bulk,SPERR,ZFP,0.6584738212601451,0.5927010862499742,1.1109711733891288,0.045702790353602474,0.0238941776676391,0.0155181435442237,1.5397574844919641,base,base,3e-05,0.0001
