material_id,system_type,codec_a,codec_b,linf_a,linf_b,linf_ratio,abs_log10_linf_diff,qoi_a,qoi_b,qoi_ratio,ladder_a,ladder_b,nominal_rel_a,nominal_rel_b
mp-1841520,bulk,SZ3,ZFP,2.099721451817203,2.6178828559999943,0.8020685291569851,0.09578852378159891,0.0157053939639162,0.0136876094564719,1.147416867339843,base,base,0.0003,0.003
mp-1841520,bulk,SZ3,ZFP,20.99643985771061,20.212003099999947,1.0388104411932662,0.016536306118827726,0.0655270280412212,0.0382154968832182,1.7146716223908753,base,base,0.003,0.03
mp-20888,bulk,SZ3,ZFP,0.0012605030345298,0.001032727829596,1.2205568576794383,0.08655801513484107,0.0004405069220041,0.0002042026585407,2.157204637550308,tight,tight,3e-07,1e-06
mp-20888,bulk,SZ3,ZFP,0.0420166564003956,0.0356445344062521,1.1787685573759612,0.07142854290554501,0.0024591898972765,0.0016354629115564,1.5036659528623577,base,base,1e-05,3e-05
mp-20888,bulk,SZ3,ZFP,1.2604894256664778,1.3277193400000016,0.9493643631540958,0.02256707467791523,0.0887865453119314,0.0363435181050331,2.442981580796264,base,base,0.0003,0.003
mp-214,bulk,SZ3,ZFP,8.212158083154009e-05,7.888845578918335e-05,1.0409835001840666,0.01744384590265735,0.0004757387045337,9.877080309195209e-08,4816.592450815696,tight,tight,3e-07,1e-06
mp-214,bulk,SZ3,ZFP,0.0027373977919609,0.0034446783417969,0.7946744283046613,0.09981076184765891,0.0032654835237178,0.0011264405694966,2.898939910498009,base,base,1e-05,0.0001
mp-214,bulk,SZ3,ZFP,0.0821207145392861,0.0903361429999982,0.9090571261082924,0.04140882439733029,0.0034271470608864,0.0213522514895512,0.16050518431573768,base,base,0.0003,0.003
mp-214,bulk,SZ3,ZFP,0.2737364265917499,0.2935047200000014,0.9326474429159047,0.0302824961595497,0.003886840385304,0.0086121802456879,0.45131897782215286,base,base,0.001,0.01
mp-214,bulk,SZ3,ZFP,0.8212176456814575,1.010170113000001,0.8129498538049271,0.08993624270541661,0.0691479472320981,0.0127149946133968,5.438299372871326,base,base,0.003,0.03
mp-2194,bulk,SZ3,ZFP,0.1983156214695185,0.1612217220000005,1.2300800351798618,0.08993336973708521,0.0024458031245337,0.007207779906718,0.339328219810665,base,base,0.0003,0.003
mp-2194,bulk,SZ3,ZFP,0.6610454858831676,0.5751645200000013,1.1493154791313729,0.06043925587708099,0.0259675019065799,0.0149630375926967,1.7354432043433723,base,base,0.001,0.01
mp-2194,bulk,SZ3,ZFP,1.983114277059577,2.166495408000003,0.9153558644697457,0.03841003169388785,0.0615532190280179,0.0354088294729866,1.7383579164902037,base,base,0.003,0.03
mp-2217743,bulk,SZ3,ZFP,2.362387265100552,2.756973977000001,0.8568768819759344,0.06708157401565695,0.0381167753075937,0.011935076746731,3.1936765985215665,base,base,0.001,0.01
mp-2229431,bulk,SZ3,ZFP,5.413403535229065,6.115992969999979,0.8851225895423296,0.05299657531942514,0.0500433149638794,0.020579999600379,2.431648004646113,base,base,0.0003,0.003
mp-2230770,bulk,SZ3,ZFP,0.0013490092817249,0.0010757422827225,1.2540264553986047,0.09830669862582742,0.0004754812670073,6.707182007126278e-05,7.089136190163148,tight,tight,3e-07,1e-06
mp-2230770,bulk,SZ3,ZFP,1.349009284523376,1.4706136500000042,0.9173104605165144,0.037483654002816974,0.0092409261434909,0.0092657856003786,0.9973170697057048,base,base,0.0003,0.003
mp-2230770,bulk,SZ3,ZFP,4.496686929989323,5.535661399999981,0.8123124962067475,0.0902768657464611,0.016094625191843,0.0118846899776849,1.3542318076502473,base,base,0.001,0.01
mp-2240057,bulk,SZ3,ZFP,0.6818195412901673,0.7925286819999968,0.8603089790637635,0.06534554433456147,0.013207658570117,0.0125901688313412,1.0490453898631333,base,base,0.0001,0.001
