material_id,system_type,codec_a,codec_b,max_match_dex,ladder_a,ladder_b,nominal_rel_a,nominal_rel_b,linf_a,linf_b,linf_ratio_a_over_b,abs_log10_linf_diff,qoi_a,qoi_b,qoi_ratio_a_over_b,compression_a,compression_b
mp-1100976,bulk,SZ3,ZFP,0.2,base,base,0.0003,0.003,1.108877141520452,1.373111599999902,0.8075651982843427,0.09282240508096923,0.0124115762457446,0.008868986539726,1.3994356841281264,74.21741843534532,31.93973954327242
mp-1100976,bulk,SZ3,ZFP,0.2,base,base,0.003,0.03,11.088706288976994,12.542884559999948,0.8840634892183876,0.05351654491102065,0.0807726548825575,0.0270972449451392,2.9808438107301676,268.7025353526902,59.650485436893206
mp-1103974,bulk,SZ3,ZFP,0.2,tight,tight,1e-07,1e-06,0.0001883814966845,0.0002492694256659,0.7557344675595751,0.12163077001516376,0.0006502502764273,6.340012253680527e-05,10.256293685391764,5.444588045454143,6.087020038469967
mp-1103974,bulk,SZ3,ZFP,0.2,tight,base,3e-06,1e-05,0.0056514445885511,0.0043478567675663,1.2998230831128503,0.1138842451864619,0.0007265096505477,0.0007191846027456,1.0101852122169128,12.04228044664818,9.11826388255676
mp-1103974,bulk,SZ3,ZFP,0.2,base,base,1e-05,0.0001,0.0188381523285983,0.027763537343759,0.6785213316066497,0.1684364942777432,0.0015466701104678,0.0018105483999395,0.8542550480945345,17.765657651335644,13.429127778150807
mp-1103974,bulk,SZ3,ZFP,0.2,base,base,0.0001,0.001,0.188381424441701,0.1959824139999995,0.9612159611509913,0.017179026276119336,0.0045111233607322,0.0011915943965981,3.7857876586287,49.28323692300111,21.62068667300873
mp-1103974,bulk,SZ3,ZFP,0.2,base,base,0.0003,0.003,0.5651447661990829,0.6887276300000167,0.8205635168129806,0.08588779616636502,0.0093166711001373,0.0059680529986483,1.5610905436408533,85.02045804771774,31.072305254326817
mp-1103974,bulk,SZ3,ZFP,0.2,base,base,0.001,0.01,1.8837982919494607,2.273343920000002,0.8286464161346335,0.08163074361006967,0.0189665037509456,0.0110114779702552,1.722430340611764,202.8706192625653,46.12333379456667
mp-1103974,bulk,SZ3,ZFP,0.2,base,base,0.003,0.03,5.651177451706758,4.531568670000013,1.2470687003197818,0.09589037917857646,0.0540601998075143,0.0216578962259426,2.496096538811515,414.2287578315125,56.59950192438306
mp-1104614,bulk,SZ3,ZFP,0.2,tight,tight,1e-07,3e-07,0.0006771096670519,0.0005003088029837,1.3533834763925994,0.13142086983082368,6.984285870093032e-05,7.44742967251355e-05,0.9378115910070481,7.088140286109829,6.784132667483275
mp-1104614,bulk,SZ3,ZFP,0.2,tight,base,3e-06,1e-05,0.0203133033547828,0.0162894977031271,1.2470183995227335,0.0958728614594897,0.0007384672857275,0.0003511732331382,2.10285755303248,17.000961100339982,11.842226996576857
