caliper_dex,codec_a,codec_b,material_id,corpus,pair_index,tol_a,tol_b,realized_linf_a,realized_linf_b,rmse_a,rmse_b,resolved_bader_error_a,resolved_bader_error_b,compression_ratio_a,compression_ratio_b,distance,d_log10_linf,d_log10_rmse,error_ratio_a_over_b,compression_ratio_a_over_b,linf_ratio_a_over_b,rmse_ratio_a_over_b,jointly_eligible_tau_0.01,certification_difference_pp_a_minus_b
0.05,SZ3,SPERR,mp-1044003,dev_bulk,0,0.0001,0.0001,1.7807726525747969,1.7807556307056984,0.6584088814822329,0.6738382349749531,0.0188480367882935,0.0201583112225947,77.51657411185825,11.161998518228346,0.2011994078145126,4.151309905886524e-06,0.010059969534193552,0.9350007835560865,6.944685934626143,1.0000095587899906,0.9771022885139581,True,0.0
0.05,SZ3,SPERR,mp-1044003,dev_bulk,1,0.0003,0.0003,5.342299549279687,5.34226121852155,1.8077133177389035,1.855374538565912,0.0309367400855169,0.0370715408790571,137.39779445679065,14.668402033647167,0.22604070641978777,3.116054484220143e-06,0.01130203489142978,0.8345145454418933,9.366923141431508,1.0000071750063446,0.974311806141391,True,0.0
0.05,SZ3,SPERR,mp-1044003,dev_bulk,2,3e-05,3e-05,0.5342317722911503,0.5342301501259854,0.2201085839200753,0.2122980171790188,0.0068518742306764,0.0094086233982766,44.55836659210356,8.62507016358232,0.3138208368294842,1.3187131240877115e-06,0.01569104178606029,0.7282547021630682,5.166145404850455,1.0000030364537915,1.0367905779094972,True,0.0
0.05,SZ3,SPERR,mp-1044003,dev_bulk,3,0.001,0.001,17.80730027921561,17.806679038810387,5.38896531751203,5.682709031892034,0.2532165886938192,0.1904589047026861,289.2017121927541,20.09748827396076,0.46100072268132725,1.5151425654780226e-05,0.023050031154340456,1.3295077438836496,14.389943074003794,1.000034888055424,0.948309210847946,True,0.0
0.05,SZ3,SPERR,mp-1044463,dev_bulk,0,0.003,0.003,5.6235016039939865,5.623610695059972,1.7706020028156542,1.754474839998467,0.0330585195140669,0.0334807152046536,283.6565096952909,20.75836973818912,0.07947630918906892,8.424855504896023e-06,0.003973806528707824,0.987389884355636,13.66468144044321,0.999980601241462,1.0091920171492463,True,0.0
0.05,SZ3,SPERR,mp-1044463,dev_bulk,1,0.001,0.001,1.874591593454852,1.874551581897279,0.6653687481887066,0.6170292030234038,0.0211505286007041,0.0257511043024045,135.15475483402628,15.944071187786593,0.6551336176151203,9.269743967754707e-06,0.032756679569143354,0.8213445276880486,8.47680327327922,1.0000213446020687,1.078342394376866,True,0.0
0.05,SZ3,SPERR,mp-1046632,dev_bulk,0,0.003,0.003,6.72451026707563,6.724827125332723,2.077025167256767,2.063135697419572,0.0298471634782435,0.0305930638197047,342.02771057840334,23.40520792965796,0.05828074486058543,2.0463430816186623e-05,0.002913965391311446,0.9756186452636113,14.613316472399385,0.9999528823193239,1.0067322134237546,True,0.0
0.05,SZ3,SPERR,mp-1046632,dev_bulk,1,0.0003,0.0003,0.6724964216915623,0.6724985895157101,0.2597744313300908,0.239297547948864,0.0030360680189307,0.021033879702613,85.93808280492354,13.237631747504432,0.7131630867181289,1.399966627763094e-06,0.03565815430842456,0.1443417981778005,6.491952974981696,0.9999967764629079,1.08557080319771,True,100.0
0.05,SZ3,SPERR,mp-10761,dev_bulk,0,0.0003,0.0003,0.4730591183487931,0.4730771868076147,0.1655452079273313,0.1641152949938108,0.0140331785724612,0.023133200959851,113.32526370395988,14.928813868197452,0.07535184888799591,1.6587529557576808e-05,0.0037675559293740557,0.6066250233513549,7.59104271139547,0.9999618065311001,1.00871285600513,True,0.0
0.05,SZ3,SPERR,mp-1094905,dev_bulk,0,0.0001,0.0001,0.1364358791677755,0.136435465842986,0.0542692282462302,0.0537038566502304,0.0181902159989473,0.0594087819201192,51.84445538288447,9.709441930088715,0.09096341702967911,1.3156725950924653e-06,0.004548170661188289,0.3061873246855286,5.3395916836603154,1.0000030294526936,1.0105275790467345,True,0.0
0.05,SZ3,SPERR,mp-1094905,dev_bulk,1,3e-05,3e-05,0.0409310278392069,0.0409305438763283,0.0173359837559849,0.0166452923211663,0.0053866769206418,0.0458852883782956,31.730529215143385,7.646546359676416,0.3531413114121907,5.135068951611643e-06,0.01765706482391316,0.11739442228698677,4.149654984434848,1.0000118240031224,1.0414947014141835,True,100.0
