caliper_dex,codec_a,codec_b,material_id,corpus,n_pairs,n_jointly_eligible_cert_pairs,material_error_ratio_a_over_b,material_compression_ratio_a_over_b,material_linf_ratio_a_over_b,material_rmse_ratio_a_over_b,material_certification_difference_pp
0.3,SZ3,SPERR,mp-1094905,dev_bulk,7,7,0.5113822313240358,2.6055610252054335,1.0000255281367267,1.244792104139854,14.285714285714286
0.3,SZ3,SPERR,mp-1096987,dev_bulk,1,0,1.075589759012059,3.0012809915093253,1.0000078479345993,1.309378185016065,
0.3,SZ3,SPERR,mp-1097014,dev_bulk,10,10,1.0592878610963423,5.132736898192199,1.0000079100788093,1.26701491578108,0.0
0.3,SZ3,SPERR,mp-1100976,dev_bulk,10,10,0.8382987566262101,2.9415733607257106,1.000011067512113,1.3210419220692708,0.0
0.3,SZ3,SPERR,mp-1103974,dev_bulk,6,6,0.7913732396606924,0.6184900262743966,1.0000233532331317,1.7044962894779807,0.0
0.3,SZ3,SPERR,mp-1104614,dev_bulk,10,10,0.7800518513908212,4.156668536295144,1.0000140081415807,1.2635012376840027,10.0
0.3,SZ3,SPERR,mp-1105871,dev_bulk,4,4,1.052068011202726,5.412435019053531,1.0000087601390781,1.2769989966722592,0.0
0.3,SZ3,SPERR,mp-1111338,dev_bulk,2,2,3.8398238845539563,0.7465911141103453,1.0003522496055293,1.8123199132430696,0.0
0.3,SZ3,SPERR,mp-1112138,dev_bulk,1,1,1.2901211676996849,0.7048663311741814,1.0000409251093034,1.863147777017195,0.0
0.3,SZ3,SPERR,mp-11306,dev_bulk,6,6,1.0502852189129652,6.713610449008288,1.0000171871137478,1.2675158384196141,0.0
0.3,SZ3,SPERR,mp-11419,dev_bulk,2,0,0.8855428960268797,0.7005494960404415,1.0005690092350117,1.8720065695281871,
0.3,SZ3,SPERR,mp-1173587,dev_bulk,6,6,0.6765170994874942,7.795805471539483,1.0000070176009002,1.1922189324139627,16.666666666666668
0.3,SZ3,SPERR,mp-1174037,dev_bulk,11,11,1.1497535819425972,2.405126683236265,1.0000132285976102,1.3327840794340664,9.090909090909092
0.3,SZ3,SPERR,mp-1175088,dev_bulk,10,10,0.847995085138604,2.6451008222950643,1.0000022429359117,1.3439050346064465,0.0
0.3,SZ3,SPERR,mp-1175263,dev_bulk,11,11,0.916564120903117,3.1002370653942015,1.0000078398024796,1.3447978003221364,9.090909090909092
0.3,SZ3,SPERR,mp-1177023,dev_bulk,11,11,1.0990019506144704,3.060722976207675,1.0000071211175132,1.352535273755679,0.0
0.3,SZ3,SPERR,mp-1178256,dev_bulk,10,10,0.9830498274671832,2.8542226121512377,1.0000096337895894,1.2891114413344473,20.0
0.3,SZ3,SPERR,mp-1178447,dev_bulk,11,11,1.626914905289629,3.5820552125348613,1.0000086484039794,1.294992685378392,-9.090909090909092
0.3,SZ3,SPERR,mp-1184653,dev_bulk,6,6,1.163484292447484,4.919026190316334,1.0000251012075585,1.3234424743130833,-33.333333333333336
0.3,SZ3,SPERR,mp-1187017,dev_bulk,6,6,0.9423831998882934,9.047022709687994,1.0000018575415266,1.0588133702243243,-16.666666666666668
0.3,SZ3,SPERR,mp-1187022,dev_bulk,2,0,0.4807804642035075,3.5817618294200164,1.0000108738895368,1.286939428741869,
