material_id,domain,case_role,stability_floor_A_archived_e,codec,relative_tolerance,compression_ratio,linf,atom_index,element,q_original_e,q_recon_old_basins_e,q_recon_new_basins_e,dq_integrand_e,dq_domain_e,dq_total_e,basin_voxels_original,basin_voxels_recon,frac_voxels_reassigned_material
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,1,Ga,11.537151719553634,11.536500681508395,11.51321774167066,-0.0006510380452393605,-0.023282939837734773,-0.023933977882974133,34734,34345,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,2,Ga,11.53662900785626,11.53713060997394,11.530633265726912,0.0005016021176800223,-0.006497344247026859,-0.005995742129346837,35244,35222,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,3,Ga,11.554956598418066,11.555270303850724,11.549188524806462,0.00031370543265829554,-0.006081779044261992,-0.005768073611603697,35590,35362,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,4,Ga,11.53755604195243,11.537473349246865,11.537785333991229,-8.269270556482411e-05,0.0003119847443642243,0.0002292920387994002,35369,35443,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,5,Ga,11.559508568004922,11.558956263189852,11.541792312581565,-0.0005523048150699594,-0.017163950608287237,-0.017716255423357197,35905,35749,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,6,Ga,11.530079701514016,11.529639122119445,11.54224951617829,-0.00044057939457076145,0.012610394058844676,0.012169814664273915,35056,35663,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,7,Ga,11.551610063647342,11.552442265036479,11.567052931859147,0.0008322013891373103,0.01461066682266754,0.01544286821180485,35707,36278,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,8,Ga,11.52391845318232,11.524601932753912,11.524065736467227,0.0006834795715917608,-0.0005361962866849979,0.0001472832849067629,34930,34760,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,9,Ga,11.546610954946974,11.546241914653903,11.552899170634731,-0.0003690402930711656,0.006657255980828225,0.006288215687757059,35709,35929,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,10,Ga,11.863795380789298,11.864438739222184,12.012746486276454,0.0006433584328853215,0.14830774705426997,0.1489511054871553,97703,186535,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,11,N,6.188384616778942,6.188094457224947,6.348331990092322,-0.0002901595539945845,0.16023753286737463,0.15994737331338005,73215,168118,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,12,N,6.404456905974751,6.403984633395512,6.398200329675439,-0.0004722725792385418,-0.005784303720073325,-0.006256576299311867,45938,45709,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,13,N,6.439200676176581,6.439928882861687,6.459917774393642,0.000728206685105981,0.0199888915319546,0.02071709821706058,46476,46557,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,14,N,6.460732018073502,6.4612223091431735,6.467734015618389,0.0004902910696715779,0.006511706475215817,0.007001997544887395,46416,46506,0.18683675130208333
