material_id,domain,case_role,stability_floor_e,codec,relative_tolerance,compression_ratio,dq_total_max_e,dq_integrand_max_e,dq_domain_max_e,domain_share_of_total,atom_of_max_total,dq_total_at_that_atom,dq_integrand_at_that_atom,dq_domain_at_that_atom,frac_voxels_reassigned,linf,mean_signed_error
mp-1046632,bulk,median_stability,6.515e-09,sz3,0.0001,46.87584772583416,0.002994436377569798,0.0007205973525277187,0.0026054336526488697,0.8700915044197292,0,-0.002994436377569798,-0.00038900272492092824,-0.0026054336526488697,0.0065817901234567905,0.22416730475469793,-0.004066473797444583
mp-1046632,bulk,median_stability,6.515e-09,sz3,0.001,154.12516723650958,0.021129038976285486,0.006688741444501822,0.01898785404435177,0.8986615087256496,7,0.021129038976285486,0.002141184931933715,0.01898785404435177,0.033069701646090535,2.241674853062733,-0.02718486080094628
mp-1046632,bulk,median_stability,6.515e-09,sz3,0.01,411.97350993377484,0.5694468494009604,0.5761084775413368,0.08800417953188422,0.011698419523058605,7,0.5694468494009604,0.5761084775413368,-0.006661628140376408,0.10891332304526749,22.41673357879632,3.975447284425446
mp-1046632,bulk,median_stability,6.515e-09,sperr,0.0001,10.30520693905138,0.005707834654517185,4.9024071591574625e-05,0.005720310683264174,1.0021857726269479,13,0.005707834654517185,-1.2476028746988277e-05,0.005720310683264174,0.00980324074074074,0.22415736242856887,5.0919146135081044e-05
mp-1046632,bulk,median_stability,6.515e-09,sperr,0.001,17.745372390952735,0.023924078043341623,0.0006774836174674448,0.023912650063367735,0.9995223230774793,4,-0.023924078043341623,-1.1427979973888114e-05,-0.023912650063367735,0.031024948559670782,2.241655954682585,0.0007259178751129853
mp-1046632,bulk,median_stability,6.515e-09,sperr,0.01,34.076865769753276,0.08074934674223755,0.009396386821503455,0.08407429537330557,1.041176167550701,1,0.08074934674223755,-0.0033249486310680254,0.08407429537330557,0.10629629629629629,22.416151499824537,-0.02822831676440234
mp-567278,bulk,least_stable,7.577e-03,zfp,0.0001,14.124570868072585,0.02075519642763468,1.6928405592864237e-06,0.020755128683867308,0.9999967360575165,6,-0.02075519642763468,-6.774376737350707e-08,-0.020755128683867308,0.0012280092592592592,0.015322030468752246,3.618366185591074e-06
mp-567278,bulk,least_stable,7.577e-03,zfp,0.001,22.70308620078042,0.00559308016498683,9.00509141210648e-06,0.005598423710575839,1.000955385124365,6,-0.00559308016498683,5.343545589009402e-06,-0.005598423710575839,0.0034363425925925924,0.10100639999998862,1.9496549055961444e-05
mp-567278,bulk,least_stable,7.577e-03,zfp,0.01,39.075573244086655,0.00991311348566104,7.745170705142357e-05,0.009875651041666655,0.9962209204960104,6,-0.00991311348566104,-3.746244399438492e-05,-0.009875651041666655,0.011636574074074073,0.6607951999999955,-2.4941916847792967e-06
mp-567278,bulk,least_stable,7.577e-03,sz3,0.0001,52.850299538553884,0.004969509551094653,0.0002642073024343716,0.004929028733068441,0.9918541623453979,6,-0.004969509551094653,-4.048081802621173e-05,-0.004929028733068441,0.0038819444444444444,0.07328628959740158,-0.0017940261211647952
