material_id,tau_e,original_qsq_floor_e,original_qsq_eligible,n_planned,n_valid,n_fail,n_exceed,valid_exceedance_fraction,valid_exact_one_sided_95_upper,conservative_exceedance_fraction,conservative_exact_one_sided_95_upper,any_fresh_exceedance,any_unresolved,fresh_max_response_e,fresh_max_over_original_floor
nomad--kEaPn7WzevZ,0.001,0.0002800351880356,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0003164036999994124,1.1298712216094393
nomad--kEaPn7WzevZ,0.01,0.0002800351880356,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0003164036999994124,1.1298712216094393
nomad--maT57oivXnQ,0.0001,0.0001575998697349,False,59,59,0,15,0.2542372881355932,0.36415134253403497,0.2542372881355932,0.36415134253403497,True,False,0.00031925739999927316,2.025746598244647
nomad--maT57oivXnQ,0.001,0.0001575998697349,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00031925739999927316,2.025746598244647
nomad--maT57oivXnQ,0.01,0.0001575998697349,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00031925739999927316,2.025746598244647
nomad--ydxPkR4Tatz,0.0001,0.0004143490394206,False,59,59,0,44,0.7457627118644068,0.8362792951838172,0.7457627118644068,0.8362792951838172,True,False,0.0004389512999996015,1.0593756911163683
nomad--ydxPkR4Tatz,0.001,0.0004143490394206,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0004389512999996015,1.0593756911163683
nomad--ydxPkR4Tatz,0.01,0.0004143490394206,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0004389512999996015,1.0593756911163683
nomad-0-ostsntWIk9,0.0001,0.0016042510240428,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.002383160400000861,1.4855283645044322
nomad-0-ostsntWIk9,0.001,0.0016042510240428,False,59,59,0,52,0.8813559322033898,0.94297149639884,0.8813559322033898,0.94297149639884,True,False,0.002383160400000861,1.4855283645044322
nomad-0-ostsntWIk9,0.01,0.0016042510240428,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.002383160400000861,1.4855283645044322
nomad-064_5lUOyDQI,0.0001,0.0004263368779735,False,59,59,0,29,0.4915254237288136,0.6054159314714334,0.4915254237288136,0.6054159314714334,True,False,0.00045452430000025856,1.0661153737409286
nomad-064_5lUOyDQI,0.001,0.0004263368779735,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00045452430000025856,1.0661153737409286
nomad-064_5lUOyDQI,0.01,0.0004263368779735,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00045452430000025856,1.0661153737409286
nomad-0HydAdmxidgt,0.0001,0.0093432276778777,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.01299928720000132,1.3913058365023263
nomad-0HydAdmxidgt,0.001,0.0093432276778777,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.01299928720000132,1.3913058365023263
nomad-0HydAdmxidgt,0.01,0.0093432276778777,True,59,59,0,11,0.1864406779661017,0.28968191528751414,0.1864406779661017,0.28968191528751414,True,False,0.01299928720000132,1.3913058365023263
nomad-0J594sjoAqDW,0.0001,0.0001374070002224,False,59,59,0,25,0.423728813559322,0.5390675687561639,0.423728813559322,0.5390675687561639,True,False,0.00016632160000007445,1.2104303254628568
nomad-0J594sjoAqDW,0.001,0.0001374070002224,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00016632160000007445,1.2104303254628568
nomad-0J594sjoAqDW,0.01,0.0001374070002224,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00016632160000007445,1.2104303254628568
nomad-0JxkdxfFTtnZ,0.0001,0.0001087266878947,False,59,59,0,34,0.576271186440678,0.6856583325027945,0.576271186440678,0.6856583325027945,True,False,0.0002552015999999213,2.347184531612697
nomad-0JxkdxfFTtnZ,0.001,0.0001087266878947,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0002552015999999213,2.347184531612697
nomad-0JxkdxfFTtnZ,0.01,0.0001087266878947,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0002552015999999213,2.347184531612697
nomad-0kvBRPSc8RU6,0.0001,0.00079442640925,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.0026084392000012002,3.283424581093381
nomad-0kvBRPSc8RU6,0.001,0.00079442640925,True,59,59,0,23,0.3898305084745763,0.5051636361942882,0.3898305084745763,0.5051636361942882,True,False,0.0026084392000012002,3.283424581093381
nomad-0kvBRPSc8RU6,0.01,0.00079442640925,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0026084392000012002,3.283424581093381
nomad-0pSeEEz7rc0X,0.0001,0.0081405416881192,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.009191517799999716,1.1291039530470526
nomad-0pSeEEz7rc0X,0.001,0.0081405416881192,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.009191517799999716,1.1291039530470526
nomad-0pSeEEz7rc0X,0.01,0.0081405416881192,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.009191517799999716,1.1291039530470526
nomad-0xMhYZKiiVKL,0.0001,0.0003503443494583,False,59,59,0,44,0.7457627118644068,0.8362792951838172,0.7457627118644068,0.8362792951838172,True,False,0.0003863703999993362,1.1028304027073348
nomad-0xMhYZKiiVKL,0.001,0.0003503443494583,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0003863703999993362,1.1028304027073348
nomad-0xMhYZKiiVKL,0.01,0.0003503443494583,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0003863703999993362,1.1028304027073348
nomad-19wSfSWChOSI,0.0001,0.0003631936194992,False,59,59,0,53,0.8983050847457628,0.9547773582973548,0.8983050847457628,0.9547773582973548,True,False,0.00039916410000095937,1.099039406450362
nomad-19wSfSWChOSI,0.001,0.0003631936194992,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00039916410000095937,1.099039406450362
nomad-19wSfSWChOSI,0.01,0.0003631936194992,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00039916410000095937,1.099039406450362
nomad-1CIlfNcWTE4X,0.0001,0.0001667485730898,False,59,59,0,15,0.2542372881355932,0.36415134253403497,0.2542372881355932,0.36415134253403497,True,False,0.00016680050000061897,1.0003114084268117
nomad-1CIlfNcWTE4X,0.001,0.0001667485730898,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00016680050000061897,1.0003114084268117
