material_id,system_type,corpus,stability_floor_A1_e,codec,valid_rows,numerical_pass,available,eligible,no_pass_observed,qualified_pass,eligible_no_pass,non_evaluable,non_evaluable_no_pass,non_evaluable_pass,design,tau_e
mp-1206630,bulk,dev_bulk,0.0001084162153581,ZFP,11,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1206630,bulk,dev_bulk,0.0001084162153581,SZ3,9,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1206630,bulk,dev_bulk,0.0001084162153581,SPERR,9,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1207275,bulk,dev_bulk,0.0004398184233682,ZFP,10,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1207275,bulk,dev_bulk,0.0004398184233682,SZ3,10,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1207275,bulk,dev_bulk,0.0004398184233682,SPERR,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1209117,bulk,dev_bulk,0.0428522944628131,ZFP,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1209117,bulk,dev_bulk,0.0428522944628131,SZ3,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1209117,bulk,dev_bulk,0.0428522944628131,SPERR,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1209933,bulk,dev_bulk,0.0002172780026672,ZFP,10,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1209933,bulk,dev_bulk,0.0002172780026672,SZ3,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1209933,bulk,dev_bulk,0.0002172780026672,SPERR,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1211145,bulk,dev_bulk,0.0002065810757674,ZFP,12,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1211145,bulk,dev_bulk,0.0002065810757674,SZ3,11,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1211145,bulk,dev_bulk,0.0002065810757674,SPERR,11,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1211797,bulk,dev_bulk,0.002458505274804,ZFP,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1211797,bulk,dev_bulk,0.002458505274804,SZ3,5,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1211797,bulk,dev_bulk,0.002458505274804,SPERR,5,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1213918,bulk,dev_bulk,1.069548698495737e-07,ZFP,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
