material_id,system_type,corpus,stability_floor_A1_e,codec,base,tight,tight_access
mp-1211145,bulk,dev_bulk,0.0002065810757674,ZFP,8,4,True
mp-1211145,bulk,dev_bulk,0.0002065810757674,SZ3,7,4,True
mp-1211145,bulk,dev_bulk,0.0002065810757674,SPERR,7,4,True
mp-1211797,bulk,dev_bulk,0.002458505274804,ZFP,8,0,False
mp-1211797,bulk,dev_bulk,0.002458505274804,SZ3,5,0,False
mp-1211797,bulk,dev_bulk,0.002458505274804,SPERR,5,0,False
mp-1213918,bulk,dev_bulk,1.069548698495737e-07,ZFP,7,4,True
mp-1213918,bulk,dev_bulk,1.069548698495737e-07,SZ3,5,4,True
mp-1213918,bulk,dev_bulk,1.069548698495737e-07,SPERR,4,4,True
mp-1215324,bulk,dev_bulk,0.0130742704163857,ZFP,7,0,False
mp-1215324,bulk,dev_bulk,0.0130742704163857,SZ3,5,0,False
mp-1215324,bulk,dev_bulk,0.0130742704163857,SPERR,4,0,False
mp-1218887,bulk,dev_bulk,0.0002032166029408,ZFP,9,4,True
mp-1218887,bulk,dev_bulk,0.0002032166029408,SZ3,5,4,True
mp-1218887,bulk,dev_bulk,0.0002032166029408,SPERR,7,4,True
mp-1219705,bulk,dev_bulk,3.822001167108624e-05,ZFP,8,4,True
mp-1219705,bulk,dev_bulk,3.822001167108624e-05,SZ3,7,4,True
mp-1219705,bulk,dev_bulk,3.822001167108624e-05,SPERR,6,4,True
mp-1222924,bulk,dev_bulk,0.002732483730746,ZFP,7,0,False
mp-1222924,bulk,dev_bulk,0.002732483730746,SZ3,3,0,False
mp-1222924,bulk,dev_bulk,0.002732483730746,SPERR,7,0,False
mp-1223327,bulk,dev_bulk,0.0162104879217395,ZFP,9,0,False
mp-1223327,bulk,dev_bulk,0.0162104879217395,SZ3,7,0,False
mp-1223327,bulk,dev_bulk,0.0162104879217395,SPERR,7,0,False
mp-1223939,bulk,dev_bulk,3.52542162058711e-05,ZFP,9,4,True
mp-1223939,bulk,dev_bulk,3.52542162058711e-05,SZ3,6,4,True
mp-1223939,bulk,dev_bulk,3.52542162058711e-05,SPERR,7,4,True
mp-1224859,bulk,dev_bulk,0.000177357784409,ZFP,8,4,True
mp-1224859,bulk,dev_bulk,0.000177357784409,SZ3,5,4,True
mp-1224859,bulk,dev_bulk,0.000177357784409,SPERR,7,4,True
mp-1225264,bulk,dev_bulk,0.0005417757195598,ZFP,8,4,True
mp-1225264,bulk,dev_bulk,0.0005417757195598,SZ3,5,4,True
mp-1225264,bulk,dev_bulk,0.0005417757195598,SPERR,6,4,True
mp-1226636,bulk,dev_bulk,0.0053351040971492,ZFP,8,0,False
mp-1226636,bulk,dev_bulk,0.0053351040971492,SZ3,6,0,False
mp-1226636,bulk,dev_bulk,0.0053351040971492,SPERR,6,0,False
mp-1228245,bulk,dev_bulk,0.0001834717249256,ZFP,9,4,True
mp-1228245,bulk,dev_bulk,0.0001834717249256,SZ3,7,4,True
mp-1228245,bulk,dev_bulk,0.0001834717249256,SPERR,7,4,True
mp-1232323,bulk,dev_bulk,0.0022105047095415,ZFP,5,0,False
mp-1232323,bulk,dev_bulk,0.0022105047095415,SZ3,3,0,False
mp-1232323,bulk,dev_bulk,0.0022105047095415,SPERR,3,0,False
mp-12406,bulk,dev_bulk,5.745773436505175e-05,ZFP,9,4,True
mp-12406,bulk,dev_bulk,5.745773436505175e-05,SZ3,7,4,True
mp-12406,bulk,dev_bulk,5.745773436505175e-05,SPERR,9,4,True
mp-1245841,bulk,dev_bulk,0.0037436215130863,ZFP,8,0,False
mp-1245841,bulk,dev_bulk,0.0037436215130863,SZ3,5,0,False
