caliper_dex,codec_a,codec_b,material_id,corpus,n_pairs,material_error_ratio,material_rmse_ratio,material_linf_ratio,material_compression_ratio,material_shape_factor_ratio
0.3,ZFP,SZ3,nomad-4TmN2lwz6DHx,dev_slab,7,0.6049438095122405,0.2796640406259516,1.1666993893517943,0.7484528444418619,0.2559835608803438
0.3,ZFP,SZ3,nomad-4U-g_t9kIPQS,dev_slab,4,0.3518431547955126,0.22370989354725032,0.9866486350728005,1.3106006530719387,0.22673714389798325
0.3,ZFP,SZ3,nomad-4hOaTvLmAUuc,dev_slab,4,0.8008463736114502,0.22092501074128204,0.854083690698294,0.4416992541530522,0.25077468450911244
0.3,ZFP,SZ3,nomad-4khM-ZQ6rM_L,dev_slab,7,0.533716407026252,0.18701064915520077,0.705279000554151,0.515762262079063,0.26515839690145737
0.3,ZFP,SZ3,nomad-5HCYH3PtBIoR,dev_slab,1,0.015888540130850382,0.2974750750024746,1.2034767859794102,0.5445192896509492,0.2471797366331285
0.3,ZFP,SZ3,nomad-5_7vAQzUevH0,dev_slab,3,0.7687947362210841,0.4102682494274561,1.2936341339850586,0.381767617069695,0.31714395797799405
0.3,ZFP,SZ3,nomad-61GFUgm3lTUg,dev_slab,5,0.692920651760276,0.43402271891909255,1.3340671848375014,0.5532918310198428,0.2585080617284951
0.3,ZFP,SZ3,nomad-6o4AmsigmNP5,dev_slab,5,0.8324003113971925,0.4300227340674635,1.4207360309454184,0.5518973269308513,0.27669104147394835
0.3,ZFP,SZ3,nomad-6x45-ylTvOvZ,dev_slab,7,0.3770909190985831,0.3653510429249819,1.3099044416131556,0.68151336550956,0.2789142713914686
0.3,ZFP,SZ3,nomad-7OdXN2bFHmUg,dev_slab,7,0.5163801282713602,0.32896896917381213,1.0604661754252138,0.7748179519595452,0.25196093126203906
0.3,ZFP,SZ3,nomad-8Hl4JATTj5Fp,dev_slab,8,0.7667693000603752,0.31705398301021953,1.174417561018824,0.5365691624416007,0.25224343902997615
0.3,ZFP,SZ3,nomad-8ZPelCNdN_TR,dev_slab,4,0.7576620754515351,0.3818045022556124,1.5570333765359985,0.515841999388822,0.2568824642055785
0.3,ZFP,SZ3,nomad-8eTSyDPSGSwy,dev_slab,7,0.8489072409386249,0.2058594316086121,0.7085951745116841,0.7551595594176022,0.27656244950346015
0.3,ZFP,SZ3,nomad-8tU1rEspJ26T,dev_slab,1,0.6831438614118257,0.3004495122506839,1.2858555771489846,0.9909910724159343,0.23365727659465801
0.3,ZFP,SZ3,nomad-9jQMkfdCbgX_,dev_slab,3,0.8417535743487548,0.4357739658214189,1.5030613025126272,0.5395924210503155,0.2899242799298653
0.3,ZFP,SZ3,nomad-9xtsrVZD5SSK,dev_slab,9,0.542705917635132,0.3280058974272192,1.227768605108401,0.821036498431708,0.2876579373469997
0.3,ZFP,SZ3,nomad-A5zDMCxBBUYc,dev_slab,5,0.6466284427786454,0.37151678529623594,0.906598360502886,0.4430663041855373,0.2749311572078663
0.3,ZFP,SZ3,nomad-AUrOZMeLzRg5,dev_slab,7,0.6445651692523442,0.3223976989552047,0.998224629564659,0.7775305895439377,0.27832243663294387
0.3,ZFP,SZ3,nomad-BMoyqNd6y06X,dev_slab,5,0.6784851358213397,0.42940626506947316,1.3853478020550989,0.5531509125077495,0.25689951344722095
0.3,ZFP,SZ3,nomad-BbyKgzzvPkrI,dev_slab,6,0.6765531205465768,0.4571575365545704,1.4464065486884166,0.4640522956849833,0.27299110820721006
0.3,ZFP,SZ3,nomad-BiuRBghVF7ns,dev_slab,7,0.8606503505718434,0.4195534775176032,1.2616268687644763,0.29209882232921086,0.33499589784379297
0.3,ZFP,SZ3,nomad-CHORxT-fP4dV,dev_slab,9,0.7608730880064519,0.33117924491927075,1.2295303299133733,0.8122084172273241,0.2837177914392319
0.3,ZFP,SZ3,nomad-E0rr8BI_hRlR,dev_slab,7,0.8746623316327692,0.3307665867778735,1.0740284192400564,0.7418543923419284,0.2804947742142139
0.3,ZFP,SZ3,nomad-Ek0B30z0bVyP,dev_slab,8,0.9511911564018469,0.37821624942161713,1.298236228887514,0.7203724281380492,0.2677130598866169
0.3,ZFP,SZ3,nomad-FPTBoTAPMQA8,dev_slab,6,0.762748843918665,0.45615887845381775,1.5628072451022113,0.8221830915120365,0.28435584951688536
0.3,ZFP,SZ3,nomad-FVlJ8rpkyGT5,dev_slab,7,0.35271176574269364,0.3522973001903507,1.2971098047842342,0.6463388023807533,0.28427188144275245
0.3,ZFP,SZ3,nomad-M8BV9zowas8w,dev_slab,9,0.7507313285363306,0.35877761697617194,1.3991878711805388,0.6611312778060603,0.2819722026185226
0.3,ZFP,SZ3,nomad-MgLl-OZz9clr,dev_slab,8,0.43817023955316914,0.42558630017152616,1.3172200488857424,0.8080507031711699,0.32645949039170113
0.3,ZFP,SZ3,nomad-Q4xDULo89hwd,dev_slab,8,0.5270617926268372,0.17685615997590434,0.6869916384076091,0.6039008452476354,0.265444423564326
0.3,ZFP,SZ3,nomad-SzuB_oB4XzfT,dev_slab,8,0.3218996904280512,0.18493697390792255,0.6906105163353221,0.7159071538492169,0.267395015012643
0.3,ZFP,SZ3,nomad-VNlX3_0OCG9w,dev_slab,8,0.50904649140803,0.35747205934050946,1.299568331000685,0.8089813761797672,0.2697722280856425
0.3,ZFP,SZ3,nomad-VyA9ivUfcKNR,dev_slab,8,0.40876104997467,0.3640001993085667,1.2823310791203095,0.7357812173753793,0.2636542207775963
0.3,ZFP,SZ3,nomad-WjYAcipcgiRI,dev_slab,7,0.30738497459145053,0.291177729703313,1.0273296712417426,0.6846643336736297,0.269612190826434
0.3,ZFP,SZ3,nomad-Z7Uu-1P6k4r9,dev_slab,8,0.6799605760449565,0.37806812541545454,1.3413398179428857,0.7271566809939477,0.2606839620804467
0.3,ZFP,SZ3,nomad-ZvTQv6REajO4,dev_slab,8,0.41986177222067855,0.41182162932976785,1.266520057612042,0.7021951271024001,0.26914453795309734
0.3,ZFP,SPERR,mp-1007755,dev_bulk,3,1.1389663667104784,0.5497310319183611,1.4588847269372176,2.268225928995718,0.4376716541601524
0.3,ZFP,SPERR,mp-1009084,dev_bulk,9,1.02815123045754,0.9488676077360382,1.3525296116685663,0.3963111166092534,0.5836311788163463
0.3,ZFP,SPERR,mp-1025517,dev_bulk,9,0.37017052176737636,0.297683237617459,0.742752400816946,1.8445148224750085,0.41612144572982684
0.3,ZFP,SPERR,mp-1036731,dev_bulk,6,1.0315837558578689,0.8891504805304479,1.0556659972233924,0.4116811829573843,0.6068144960976778
0.3,ZFP,SPERR,mp-1038991,dev_bulk,4,1.0743356967783162,0.42340225607059173,1.4835984114873162,3.4114806221941545,0.2911251398525878
0.3,ZFP,SPERR,mp-1039028,dev_bulk,6,0.42102831753955977,0.40601746670870614,1.3373530132790985,2.7860627671233975,0.30557926786559336
0.3,ZFP,SPERR,mp-1041800,dev_bulk,6,0.607444889731495,0.4338384864857015,1.121547318653904,2.7537801368156383,0.3930840641019137
0.3,ZFP,SPERR,mp-1044003,dev_bulk,8,0.41079933663703255,0.3463162732639626,0.9360365061613339,2.5389599719199514,0.34321318439992704
0.3,ZFP,SPERR,mp-1044463,dev_bulk,6,0.743276436920023,0.5095975508961433,1.22136119750601,2.5767193120362557,0.41600287321494217
0.3,ZFP,SPERR,mp-1046632,dev_bulk,9,0.544658242894754,0.4975099974963997,1.1295491864890341,2.2502736581920915,0.38083029475173813
0.3,ZFP,SPERR,mp-1065204,dev_bulk,9,1.061117019578528,0.4344549967928119,0.7519716042744763,0.3172993905535805,0.5820429314141727
0.3,ZFP,SPERR,mp-1069461,dev_bulk,6,1.0059457860512546,0.605247903878999,0.7798900993839989,0.2665544617838482,0.6691599870105499
0.3,ZFP,SPERR,mp-10761,dev_bulk,6,0.7556912373360803,0.4550532177518489,1.2181567802806068,2.6745778307172525,0.4136925157031445
0.3,ZFP,SPERR,mp-1077125,dev_bulk,7,1.1193352303338469,0.4430076086918185,0.775473722149469,0.3468566374865092,0.5712735274431786
0.3,ZFP,SPERR,mp-1077596,dev_bulk,6,0.7443275649617099,1.004448158548279,1.1017260105503197,0.3546330043672105,0.6932889275385682
0.3,ZFP,SPERR,mp-1078524,dev_bulk,3,0.40147015750649495,0.5257468926975996,1.5263851353990143,2.7452702238703472,0.3444392116411455
0.3,ZFP,SPERR,mp-1094905,dev_bulk,5,0.2709862359138906,0.293362640683135,0.7512504158180884,2.0555747674695923,0.38240632039938305
0.3,ZFP,SPERR,mp-1097014,dev_bulk,8,0.43323945163637334,0.426085257545166,1.0262732775469896,2.427663231742672,0.3722039030575475
0.3,ZFP,SPERR,mp-1100976,dev_bulk,8,0.6599393352985785,0.48177268111206034,1.1848326455676637,2.038950451478521,0.37826589719070614
0.3,ZFP,SPERR,mp-1103974,dev_bulk,10,1.3370962817619454,0.9101760744077905,1.2166992932915952,0.38382757916012233,0.6715977777575384
0.3,ZFP,SPERR,mp-1104614,dev_bulk,8,0.40092969899488995,0.328256274155271,0.8586463253513372,2.3600824552566535,0.3937195825612888
0.3,ZFP,SPERR,mp-1105871,dev_bulk,4,0.9175548355494831,0.5649677844027465,1.3441860598424702,2.599770763736425,0.4038351060054563
0.3,ZFP,SPERR,mp-1111338,dev_bulk,5,1.1956598901302524,0.9937725023468944,1.4505719567510904,0.35513824980309255,0.6374661323503998
0.3,ZFP,SPERR,mp-1112138,dev_bulk,5,1.2222606241838192,1.0162307719341366,1.2909141765186893,0.2969350368488462,0.7994696234649377
0.3,ZFP,SPERR,mp-1114492,dev_bulk,6,1.0776574744099416,1.1797834513032361,1.3387204211544081,0.2397087278009711,0.726700877628123
0.3,ZFP,SPERR,mp-11306,dev_bulk,5,0.4763615807395034,0.549209784711499,1.2260696176642671,2.854837646934795,0.447943393098489
0.3,ZFP,SPERR,mp-11419,dev_bulk,3,0.22507532166476413,1.0255300940320928,1.524968128025135,0.41933994212179054,0.672492805053031
0.3,ZFP,SPERR,mp-1173587,dev_bulk,5,0.5969257397349578,0.4174948400226379,1.3661614503194834,2.8473186829278494,0.3746598858742107
0.3,ZFP,SPERR,mp-1174037,dev_bulk,10,0.6556510475463905,0.4773705075904913,1.0789080670123024,1.9219763352699724,0.40693469406590066
0.3,ZFP,SPERR,mp-1175088,dev_bulk,9,0.6008349564200551,0.5453297588115119,1.3138695461452756,2.1238408586041224,0.40373584364453025
0.3,ZFP,SPERR,mp-1175263,dev_bulk,9,0.6617970329305142,0.5341884481749675,1.2328054189647517,2.2905515992003993,0.4085495637203955
0.3,ZFP,SPERR,mp-1177023,dev_bulk,9,0.5971804918222368,0.5366665481879985,1.253781630364909,2.4168290392217333,0.39926659781064655
0.3,ZFP,SPERR,mp-1178256,dev_bulk,8,0.7911681800116979,0.35569940212164175,0.8554798670730698,2.017028799143644,0.39958683567498254
0.3,ZFP,SPERR,mp-1178447,dev_bulk,9,0.7524110437416468,0.5050629832832066,1.5539645119424201,2.4138330580029366,0.38256938241978306
0.3,ZFP,SPERR,mp-1184653,dev_bulk,6,0.9718900102010082,0.586544324678586,1.2854098566730328,2.302205542237186,0.44238394675602283
0.3,ZFP,SPERR,mp-1187017,dev_bulk,7,0.9271350131308018,0.525097294498327,1.1501370305997916,2.930046310471525,0.40402919304828816
0.3,ZFP,SPERR,mp-1187022,dev_bulk,1,0.7500916189297269,0.23799232431640452,0.6518898729561333,1.8765037593984966,0.3650805668098166
0.3,ZFP,SPERR,mp-1187279,dev_bulk,4,1.5848520591074964,0.9513856990106992,1.129397045227951,0.2717934327868909,0.8405616688469352
0.3,ZFP,SPERR,mp-1187638,dev_bulk,7,1.2677228860461787,1.2288737302489592,1.2984691236531982,0.2247215081405313,1.0363645564594004
0.3,ZFP,SPERR,mp-1188002,dev_bulk,10,0.7713631360054091,0.830728844868923,1.0916266422740475,0.4458176588497629,0.5896464807844606
0.3,ZFP,SPERR,mp-1192831,dev_bulk,6,0.4937126462472574,0.2625725894322154,0.7723456625414348,1.8116146681511058,0.37163118912403226
0.3,ZFP,SPERR,mp-1193567,dev_bulk,7,0.4907746123818933,0.30672951450993596,0.7757535103502466,1.9884537323868445,0.39539558689389637
0.3,ZFP,SPERR,mp-1194734,dev_bulk,9,0.6876563177205007,0.883641961228618,1.155206449906368,0.4123645468476358,0.5845628812861092
0.3,ZFP,SPERR,mp-1197354,dev_bulk,7,0.789387672082002,0.5625030137440842,1.3132091935088743,2.2104339986431962,0.4283422751870058
0.3,ZFP,SPERR,mp-1199510,dev_bulk,3,0.4567250519455818,0.2068946590220063,0.600306780452531,2.2608564810000207,0.30348014864761236
0.3,ZFP,SPERR,mp-1200041,dev_bulk,6,0.5187562871017103,0.4628400318836015,1.1550809558950155,1.9629408448994665,0.390524970331378
0.3,ZFP,SPERR,mp-1200429,dev_bulk,7,0.4502783088137971,0.295744292359563,0.7613760714106965,1.8767669905177342,0.38839136667207086
0.3,ZFP,SPERR,mp-1205681,dev_bulk,8,0.8137436060441233,0.5839053690394878,0.986227844934456,0.4320717767917728,0.5554052333601687
0.3,ZFP,SPERR,mp-1206294,dev_bulk,7,1.0501074942013358,0.9606942918428986,0.857076484140218,0.2851157930094986,0.7279152399121421
0.3,ZFP,SPERR,mp-1206630,dev_bulk,7,0.7657797768126101,0.49383191188639725,1.3472816674871422,2.3802809300604415,0.3747637317587067
0.3,ZFP,SPERR,mp-1207275,dev_bulk,6,0.3572555717940889,0.3746109410262735,0.9767567480717881,2.095883880787381,0.3827284515685551
