caliper_dex,codec_a,codec_b,material_id,corpus,pair_index,tol_a,tol_b,d_log10_linf,linf_a,linf_b,rmse_a,rmse_b,error_a,error_b,error_ratio_a_over_b,rmse_ratio_a_over_b,linf_ratio_a_over_b,compression_ratio_a_over_b,shape_factor_ratio_a_over_b
0.2,ZFP,SPERR,mp-1009084,dev_bulk,1,0.003,0.0003,0.08362543694717954,0.8443886949999992,0.6964933484221802,0.0989084140275615,0.1042383713187904,0.0224674463563729,0.0176963398409526,1.2696097926634,0.9488676077360382,1.212342798266283,0.2629076756330673,0.7826726971059433
0.2,ZFP,SPERR,mp-1009084,dev_bulk,2,0.0001,1e-05,0.13114678212868447,0.031405892390623,0.0232201144578851,0.0042104922024763,0.005627184134824,0.0017881614577417,0.0028049636553779,0.637498975900559,0.7482414119736266,1.3525296116685663,0.415277911569213,0.5532162885887197
0.2,ZFP,SPERR,mp-1009084,dev_bulk,3,3e-06,3e-07,0.13321944239861283,0.000946737961911,0.0006966431149066,0.0001550040071625,0.0002364274959563,8.186116773867269e-05,0.0002653468859072,0.3085062312255742,0.6556090548417014,1.3589999551462308,0.5919144836021276,0.482420218160461
0.2,ZFP,SPERR,mp-1009084,dev_bulk,4,1e-05,3e-06,0.18424034777574771,0.0045577273691392,0.0069660837436913,0.0005880953253939,0.0019964766120469,0.0003495295777078,0.0008545538180069,0.40901997082292335,0.2945665988999248,0.6542739847574784,0.40020901236016937,0.4502190301959088
0.2,ZFP,SPERR,mp-1025517,dev_bulk,0,0.01,0.001,0.03485548825972401,1.275597810000022,1.3821947950784548,0.198759415354648,0.4593025314668915,0.0241645902351788,0.0342533417623869,0.705466649146437,0.4327418242609347,0.9228784644118254,2.538985362896241,0.46890445594776387
0.2,ZFP,SPERR,mp-1025517,dev_bulk,1,0.03,0.003,0.050504237733349444,4.657900030000008,4.146540633344934,0.6344158291940742,1.3035935696270675,0.0254792287969944,0.1157611700153147,0.22010168689227663,0.4866668906441201,1.1233219307060236,2.927763402335456,0.4332390184336944
0.2,ZFP,SPERR,mp-1025517,dev_bulk,2,0.0001,3e-05,0.12915593574123996,0.0307991977812491,0.0414663052551205,0.0045426117364028,0.0168546526933234,0.0013698238928352,0.0072691770125778,0.1884427756353992,0.26951678085910696,0.742752400816946,1.8445148224750085,0.3628622143296584
0.2,ZFP,SPERR,mp-1025517,dev_bulk,3,0.001,0.0001,0.14984239630732832,0.1951735750000125,0.1382224609102422,0.0310173651553604,0.0549118356238519,0.0090224712553048,0.0243738242911053,0.37017052176737636,0.56485755398582,1.4120250335200786,2.420478008258907,0.4000336683675289
0.2,ZFP,SPERR,mp-1025517,dev_bulk,4,3e-06,1e-06,0.152560719832449,0.0009727862763639,0.0013822231262814,0.000168029018688,0.0005644557618791,0.0006338139623762,0.0019368690949459,0.32723634448506883,0.297683237617459,0.7037838232246848,1.4696793212539545,0.42297539072935314
0.2,ZFP,SPERR,mp-1025517,dev_bulk,5,0.003,0.0003,0.19076056534238908,0.6433540500000277,0.4146574512441923,0.1066541542794149,0.1514234250475232,0.0208981575868456,0.0372124525766555,0.5615904392164587,0.7043438242527021,1.5515313858936437,2.722997189037245,0.45396685536401027
0.2,ZFP,SPERR,mp-1036731,dev_bulk,0,0.01,0.001,0.0500338339849411,10.599988980000036,11.89430984855801,1.666958943208176,1.965261519625609,0.0351801429863272,0.0324950747206012,1.0826300074338255,0.848212274326594,0.8911815073730496,0.2905261600717708,0.9517839714009365
0.2,ZFP,SPERR,mp-1036731,dev_bulk,1,0.03,0.003,0.0970869004799444,44.55963353000004,35.63319052448787,5.483756322652681,4.809500315896909,0.0706558738823233,0.0718818660702362,0.98294434667688,1.1401925278031781,1.2505092267664815,0.23781913784371558,0.9117825789670053
0.2,ZFP,SPERR,mp-1036731,dev_bulk,2,0.0001,3e-05,0.1080551407555162,0.278342975625037,0.3569730307726786,0.0370945586422492,0.0978079704867505,0.0041412489727603,0.0078344865821726,0.5285922605552387,0.3792590568809951,0.7797311046791279,0.41418605326688956,0.4863972395163925
0.2,ZFP,SPERR,mp-1038991,dev_bulk,0,0.0003,3e-05,0.10429994970728718,0.1228634773749988,0.0966324194024519,0.0134331788064442,0.0378055365243188,0.0276604380005416,0.0122157691378657,2.2643222615268206,0.3553230569232411,1.2714519426787871,3.2053793988269788,0.2794624358154039
0.2,ZFP,SPERR,mp-1038991,dev_bulk,1,0.001,0.0001,0.16596009322285055,0.4720200662499962,0.3221071522775105,0.0475648247681841,0.1208615534140082,0.0167712761353193,0.0308513359985802,0.5436158789392823,0.39354801774930026,1.4654131797835046,3.5788165617894347,0.268557716812293
0.2,ZFP,SPERR,mp-1038991,dev_bulk,2,0.003,0.0003,0.176672626078617,1.4513701780000012,0.9662857369577136,0.1548545950929144,0.3399503484150556,0.0839082665764934,0.0808246080937227,1.0381524705841438,0.45552121306799714,1.5020093151426863,4.001386949099937,0.30327455926911084
0.2,ZFP,SPERR,mp-1039028,dev_bulk,0,0.0003,3e-05,0.12619147938598563,0.1163937212499988,0.0870438464075302,0.0132331450430255,0.0342562233311297,0.0043690079066234,0.0085890082900128,0.5086743147871485,0.3862990066099939,1.3371849482047882,3.33036119301429,0.288889735955084
0.2,ZFP,SPERR,mp-1039028,dev_bulk,1,1e-05,1e-06,0.1263006417692023,0.0038807142285151,0.0029014228112238,0.000582949510117,0.0011826771621112,0.0003905957976275,0.0011208429434894,0.3484839690487768,0.4929067109712133,1.3375210994767914,2.2698812474025276,0.3685225684768842
0.2,ZFP,SPERR,mp-1039028,dev_bulk,2,0.001,0.0001,0.19441993472987268,0.4539807875000008,0.2901466356540823,0.0469718531596421,0.1100707312178106,0.0091786564579638,0.0054976354136879,1.6695644158415759,0.4267424467880846,1.564659836487797,3.7166848567530697,0.272738161251711
0.2,ZFP,SPERR,mp-1041800,dev_bulk,0,0.03,0.003,0.0032805749547324403,20.77733809999995,20.62098146846324,2.613253844075073,6.461168722617896,0.0232201651416463,0.0466414009474469,0.4978445044523764,0.40445528607342285,1.0075824049294568,2.814598855415182,0.40141162062247376
0.2,ZFP,SPERR,mp-1041800,dev_bulk,1,0.1,0.01,0.03468511146068942,63.461494879999975,68.73776538897496,8.171533718400228,19.763071344299828,0.4915356661146095,0.1144494248643042,4.294784938389982,0.4134748883936558,0.9232405871922443,2.9122536435905926,0.4478517237322874
0.2,ZFP,SPERR,mp-1041800,dev_bulk,2,0.001,0.0001,0.09635462786810582,0.8581278799999836,0.6873807795234228,0.1240878908424912,0.2725978265207929,0.0052070274685611,0.0109275290949764,0.476505477432668,0.45520498980583823,1.248402494749626,2.3842036553524806,0.3646299905040899
0.2,ZFP,SPERR,mp-1041800,dev_bulk,3,0.003,0.0003,0.10733999470818845,2.640361700000085,2.06216508632258,0.4345571882032737,0.7510361004614359,0.0106589844527462,0.0221640095728297,0.48091408811755704,0.5786102531373422,1.280383281393146,2.694275607811878,0.4519039427848308
0.2,ZFP,SPERR,mp-1044003,dev_bulk,0,0.01,0.001,0.05565939393683195,20.241482840000003,17.806679038810387,2.5235388448294467,5.682709031892034,0.3100623922340464,0.1904589047026861,1.6279752984932163,0.44407321062314625,1.1367354235948692,3.4889422665411276,0.39065661314467254
0.2,ZFP,SPERR,mp-1044003,dev_bulk,1,1e-06,3e-07,0.11307382014598177,0.0041176853027309,0.0053422840082717,0.0006310633648702,0.0021738981937774,0.0001006935420742,0.0006854157164184,0.14690871490424565,0.2902911307790611,0.77077244421212,1.800475783291119,0.37662364937785936
0.2,ZFP,SPERR,mp-1044003,dev_bulk,2,3e-05,1e-05,0.12996827617888052,0.1320190593750112,0.178075802549344,0.0174342944002638,0.0722302807577004,0.0008489607565831,0.0024800726909202,0.34231285223664304,0.24137099035718684,0.741364393617877,2.183410839524377,0.32557672372055835
0.2,ZFP,SPERR,mp-1044003,dev_bulk,3,0.003,0.0003,0.13810720561436074,7.342303379999976,5.34226121852155,0.7665555353432613,1.855374538565912,0.0142190622858011,0.0370715408790571,0.3835573582492738,0.41315406642141406,1.3743811992091113,3.1261090120347053,0.30061097071115633
0.2,ZFP,SPERR,mp-1044463,dev_bulk,0,0.1,0.01,0.0027566323198215947,18.86503058,18.745666279094507,2.281485242245034,5.616794288904752,0.0790106526570424,0.0721737679225054,1.0947281114916698,0.40618992345007393,1.0063675677955821,2.9788929784824463,0.40361984671248974
0.2,ZFP,SPERR,mp-1044463,dev_bulk,1,0.03,0.003,0.06841906137137643,4.803924649999999,5.623610695059972,0.7144151797372243,1.754474839998467,0.0134955478753528,0.0334807152046536,0.4030842170742221,0.40719602438861335,0.8542420360321135,2.698156724037339,0.47667523630657016
0.2,ZFP,SPERR,mp-1044463,dev_bulk,2,0.001,0.0001,0.0735033367843978,0.2220269456250037,0.1874572957801294,0.0327255520294104,0.0718148525947551,0.0051890350427106,0.0075518563917489,0.6871204606565479,0.45569336769481117,1.184413467083305,2.1377829086906326,0.3847417986701769
0.2,ZFP,SPERR,mp-1044463,dev_bulk,3,0.003,0.0003,0.10018490000981767,0.7082871759999989,0.562373022021518,0.1149072608928614,0.2016348125167663,0.0070819477908559,0.0120842152438642,0.586049457738001,0.5698780853296682,1.2594615108917828,2.4607474999027192,0.45247757109001013
0.2,ZFP,SPERR,mp-1044463,dev_bulk,4,0.01,0.001,0.17020314966055688,2.773962240000003,1.874551581897279,0.3914975205427628,0.6170292030234038,0.0207044504357121,0.0257511043024045,0.8040218466972241,0.6344878307614128,1.4798004316277116,2.8306032203091025,0.42876581003798314
