material_id,corpus,system_type,source,formula,ngrid,sha256,url,source_bytes,npoints,natoms,crystal_system,symmetry_number,spacegroup_relax,upload_id,upload_description,cell_c_angstrom,vacuum_fraction,license
mp-1175263,dev_bulk,bulk,Materials Project,Li7Mn4CoO12,48x96x180,482795afd80de3d05cf3c65447eab029a90ca189e201879bee313f1474935e11,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1790382.json.gz,12261452,829440,24,triclinic,1.0,,,,,,
mp-1177023,dev_bulk,bulk,Materials Project,Li6V5O12,80x80x144,16a4c36f2fd028c3caa0155992f8aeac61df64c49cbc66223b4a3fc82b52df09,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1784796.json.gz,13590740,921600,23,monoclinic,5.0,,,,,,
mp-1178256,dev_bulk,bulk,Materials Project,Fe5O7F3,72x72x240,07b6a6c016fb569cc29842f89e53e39151c0289724c5115dfb1895597de1e743,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1811226.json.gz,12665675,1244160,30,orthorhombic,31.0,,,,,,
mp-1178447,dev_bulk,bulk,Materials Project,Fe2OF3,72x96x160,6facd2ae3e145c3912877d0ad038be1e47e3196a05b4d47db2d2771de995d6e2,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1807816.json.gz,16381057,1105920,24,triclinic,2.0,,,,,,
mp-1184653,dev_bulk,bulk,Materials Project,HW3,84x84x72,e6c82f95ddd8776a67dfd5aee6735273a2ea713ea5bbb969866430f6adcdbbbc,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1881877.json.gz,7249379,508032,8,hexagonal,194.0,,,,,,
mp-1187017,dev_bulk,bulk,Materials Project,SiPb3,108x108x84,b6898dea62237d42012d88588dbf990c9cff7c42ba31bf1ac324d84cc9fb88b6,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1873270.json.gz,13928744,979776,8,hexagonal,194.0,,,,,,
mp-1187022,dev_bulk,bulk,Materials Project,SmHo3,120x120x96,01b4b47fd53f40254f59097b8ac29c2dad77161bb50a07eddd087ef701be68d0,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2021356.json.gz,17980890,1382400,8,hexagonal,194.0,,,,,,
mp-1187279,dev_bulk,bulk,Materials Project,Tb3Hg,72x72x72,5fcb0efa7a5771e686e9f4b1af5399b799be6505ae127e0ecdbe20e032b3f088,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1803176.json.gz,3061119,373248,4,cubic,221.0,,,,,,
mp-1187638,dev_bulk,bulk,Materials Project,Tl3In,84x84x84,548e47551c450ee737c3cfcf37c0a8b416d436d766b8b963a8839ba34f010fc2,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2019838.json.gz,5522222,592704,4,cubic,221.0,,,,,,
mp-1188002,dev_bulk,bulk,Materials Project,Zr2TcOs,72x72x72,4d0a4beffef577b6f75e6e37851be41da2739889ed0d703562db573e4af2e184,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2609776.json.gz,5069720,373248,4,cubic,225.0,,,,,,
