material,sentinel,variant,kind,domain_max_e,integrand_max_e,total_max_e,domain_to_integrand,migration_fraction,closure_max_e
mp-30772,False,sperr_0.0001_stratified_1702,spatial_control,2.3297062189003883,7.524981796613872e-05,2.3297198622,30959.625974759445,0.1832576530612245,0.0
mp-30772,False,sperr_0.0001_global_1703,spatial_control,2.5144594949818435,7.349548001300832e-05,2.5144485032999997,34212.43720752347,0.17543061224489795,0.0
mp-30772,False,sperr_0.0001_shift_1703,spatial_control,0.24576304495167278,4.569239859630869e-05,0.24580190400000035,5378.641798233963,0.23996938775510204,0.0
mp-30772,False,sperr_0.0001_stratified_1703,spatial_control,0.22656998373971327,3.221396159425183e-05,0.22654845589999972,7033.28533737812,0.11515051020408164,0.0
mp-30772,False,sperr_0.001,codec,1.8338935401794911,0.0008033518584662502,1.8335692372999999,2282.8023870894363,0.33444744897959183,0.0
mp-631399,False,float32,float32,4.8403947516817425e-11,2.974370971742246e-09,3.000000248221113e-09,0.01627367533393613,0.0,0.0
mp-631399,False,noise_20260905,noise,4.228617456192296e-11,2.612074112562368e-08,2.6100000383166844e-08,0.0016188734599280365,0.0,0.0
mp-631399,False,noise_1,noise,1.1047518455598038e-10,2.1110475145746932e-08,2.099999996119095e-08,0.005233192706145105,0.0,0.0
mp-631399,False,noise_2,noise,4.716582679975545e-11,9.67843494237286e-09,9.700000802581599e-09,0.004873290679804044,0.0,0.0
mp-631399,False,noise_3,noise,8.117595484691265e-11,2.2931792464930822e-08,2.3000000126671694e-08,0.0035398870354793927,0.0,0.0
mp-631399,False,noise_4,noise,8.870326695387121e-11,1.8738429474751683e-08,1.8699999770888098e-08,0.004733762083604217,0.0,0.0
mp-631399,False,zfp_0.0001,codec,0.00019847796801641948,3.48918668890974e-06,0.0001977131000003851,56.88373415136395,5.89420438957476e-05,0.0
mp-631399,False,zfp_0.0001_global_1701,spatial_control,0.000578238500835937,1.041542187607547e-06,0.000577534200001395,555.1753041940316,0.00019290123456790122,0.0
mp-631399,False,zfp_0.0001_shift_1701,spatial_control,0.00039869898490163536,1.5298036402100479e-06,0.00039782690000045307,260.62101986297563,0.00017950531550068588,0.0
mp-631399,False,zfp_0.0001_stratified_1701,spatial_control,0.0003579022822899347,1.3911324305837525e-06,0.0003585815000004544,257.27405559781994,0.0001286008230452675,0.0
mp-631399,False,zfp_0.0001_global_1702,spatial_control,0.0005341844422472874,1.0288239327138626e-06,0.0005346513000006325,519.2185224912097,0.0001982596021947874,0.0
mp-631399,False,zfp_0.0001_shift_1702,spatial_control,0.00032465347583965354,2.926293182881068e-06,0.00032349239999973634,110.94359161921619,0.00013395919067215364,0.0
mp-631399,False,zfp_0.0001_stratified_1702,spatial_control,0.00038005185004852393,1.4752673465068256e-06,0.0003801643000000965,257.61557791434893,0.00012056327160493826,0.0
mp-631399,False,zfp_0.0001_global_1703,spatial_control,0.0004129512073731689,8.240046422969272e-07,0.00041376799999959246,501.15155446462086,0.00018486368312757202,0.0
mp-631399,False,zfp_0.0001_shift_1703,spatial_control,0.0003002048435334359,1.416330384529374e-06,0.0002994472000015236,211.95961536417198,0.00016343021262002743,0.0
mp-631399,False,zfp_0.0001_stratified_1703,spatial_control,0.0004472602876077758,1.524787607287692e-06,0.0004457355000004881,293.3262871957407,0.00017414694787379974,0.0
mp-631399,False,zfp_0.001,codec,0.0033129049599160965,4.86249777544856e-05,0.0032725473999999366,68.13175271037497,0.002097800925925926,0.0
mp-631399,False,sz3_0.0001,codec,0.0026071240141520846,0.0003802031072144274,0.0027671117000007683,6.857187552340848,0.003201624657064472,0.0
mp-631399,False,sz3_0.0001_global_1701,spatial_control,0.0049111340618361865,0.0002628791116414675,0.005161584400000585,18.682100799755922,0.004359032064471879,0.0
mp-631399,False,sz3_0.0001_shift_1701,spatial_control,0.005178192687758099,0.0003011239365431351,0.0048957558999997985,17.196217435263033,0.004048246742112483,0.0
mp-631399,False,sz3_0.0001_stratified_1701,spatial_control,0.0042646920184346016,0.0002705329942562784,0.004203302600000569,15.764036583259116,0.004463520233196159,0.0
mp-631399,False,sz3_0.0001_global_1702,spatial_control,0.005660297395747804,0.0003024234987343277,0.00589432240000054,18.716460259988754,0.0044018990054869684,0.0
mp-631399,False,sz3_0.0001_shift_1702,spatial_control,0.0036242242974715566,0.00032517835678191886,0.003817843200000226,11.14534292299824,0.0040750385802469135,0.0
mp-631399,False,sz3_0.0001_stratified_1702,spatial_control,0.003524447349690263,0.00027615930902413766,0.0037680362000003242,12.762370249782922,0.004495670438957476,0.0
mp-631399,False,sz3_0.0001_global_1703,spatial_control,0.005205544245395544,0.00028198603160767277,0.004937920699999765,18.46029115597477,0.004452803497942387,0.0
mp-631399,False,sz3_0.0001_shift_1703,spatial_control,0.0032342872683202017,0.00033812696831958533,0.0031038285000004606,9.565304076140034,0.004142018175582991,0.0
mp-631399,False,sz3_0.0001_stratified_1703,spatial_control,0.003630291513594841,0.00028374469422765003,0.003894948700000178,12.794218138515172,0.0042866941015089165,0.0
mp-631399,False,sz3_0.001,codec,0.03136408533600665,0.00293097321608915,0.033092185000000995,10.700911616605051,0.01922582304526749,0.0
mp-631399,False,sperr_0.0001,codec,0.0025689111952900134,5.6766566489230286e-05,0.002606498599999618,45.25394707071786,0.0009698645404663923,0.0
mp-631399,False,sperr_0.0001_global_1701,spatial_control,0.0025196323700038548,2.8168529996541736e-05,0.0025478009000003965,89.44848631835568,0.0024487740054869684,0.0
mp-631399,False,sperr_0.0001_shift_1701,spatial_control,0.0008596016556836616,5.213133495196587e-05,0.0008171764000000081,16.489154871550937,0.0017387902949245542,0.0
mp-631399,False,sperr_0.0001_stratified_1701,spatial_control,0.0013678398360914557,1.7380836091263063e-05,0.0013504590000001926,78.69816094629859,0.0016021519204389575,0.0
mp-631399,False,sperr_0.0001_global_1702,spatial_control,0.0018234503775884647,2.5322695410778806e-05,0.0018296178000003493,72.00854206113851,0.0021594221536351166,0.0
mp-631399,False,sperr_0.0001_shift_1702,spatial_control,0.0024977978783891075,6.256824519645932e-05,0.0025030541999999656,39.921175199116114,0.0017227151920438956,0.0
mp-631399,False,sperr_0.0001_stratified_1702,spatial_control,0.0014303320312469836,1.9667211873297674e-05,0.0014246391000005687,72.7267311941128,0.001513738854595336,0.0
mp-631399,False,sperr_0.0001_global_1703,spatial_control,0.0023607487724381926,2.061116504670224e-05,0.0023654886000006314,114.53737656697429,0.0024862825788751716,0.0
mp-631399,False,sperr_0.0001_shift_1703,spatial_control,0.0021633570085084486,3.678208959811968e-05,0.0021463443999998333,58.81550048257836,0.001880787037037037,0.0
mp-631399,False,sperr_0.0001_stratified_1703,spatial_control,0.0011537632050320212,1.5102153795965023e-05,0.0011644763000004943,76.39726231236517,0.0014172882373113854,0.0
mp-631399,False,sperr_0.001,codec,0.011190107298817864,0.0003247730094431134,0.010945450299999493,34.45516398670408,0.006282686042524005,0.0
nomad-0kvBRPSc8RU6,False,float32,float32,5.2216131713578307e-05,4.126789576730516e-09,5.221229999996524e-05,12652.966850552864,6.944444444444445e-07,0.0
nomad-0kvBRPSc8RU6,False,noise_20260905,noise,0.0006915903190449768,5.5080954908248714e-08,0.0006916453999998851,12555.888331946962,0.00012239583333333332,0.0
nomad-0kvBRPSc8RU6,False,noise_1,noise,0.0007749756919430695,5.42436779937816e-08,0.0007750049999994957,14286.931133834827,0.0001109375,0.0
nomad-0kvBRPSc8RU6,False,noise_2,noise,0.0007943958200371526,3.385921765186595e-08,0.0007944264000006029,23461.72992551038,9.288194444444444e-05,0.0
nomad-0kvBRPSc8RU6,False,noise_3,noise,0.00041738094429177863,6.119347517596907e-08,0.00041737179999934426,6820.677255075813,8.680555555555556e-05,0.0
nomad-0kvBRPSc8RU6,False,noise_4,noise,0.0006183645044401942,3.4541068671956054e-08,0.0006183538000001931,17902.29799526282,8.993055555555555e-05,0.0
nomad-0kvBRPSc8RU6,False,zfp_0.0001,codec,0.004508736636978483,1.4408747558647406e-05,0.004513447900000855,312.9166236431539,0.002889409722222222,0.0
nomad-0kvBRPSc8RU6,False,zfp_0.0001_global_1701,spatial_control,0.0062164868817653485,2.3577912404704193e-06,0.006217083999999318,2636.5722185502113,0.003862326388888889,0.0
nomad-0kvBRPSc8RU6,False,zfp_0.0001_shift_1701,spatial_control,0.005827191491679429,1.2931155209727763e-05,0.0058144683000005415,450.63193482480114,0.003712673611111111,0.0
nomad-0kvBRPSc8RU6,False,zfp_0.0001_stratified_1701,spatial_control,0.006972263007535062,1.1529351947814348e-05,0.00698221530000076,604.7402351054791,0.0044029513888888885,0.0
nomad-0kvBRPSc8RU6,False,zfp_0.0001_global_1702,spatial_control,0.005923235672481653,2.9224575452957424e-06,0.005922902600000057,2026.799561901674,0.003820138888888889,0.0
nomad-0kvBRPSc8RU6,False,zfp_0.0001_shift_1702,spatial_control,0.004318437906844608,2.5814520700606636e-05,0.004321008999999876,167.28716201742708,0.0026227430555555557,0.0
nomad-0kvBRPSc8RU6,False,zfp_0.0001_stratified_1702,spatial_control,0.009425424283213246,1.1880129044072874e-05,0.009418881800000278,793.3772645269113,0.004501041666666667,0.0
nomad-0kvBRPSc8RU6,False,zfp_0.0001_global_1703,spatial_control,0.00789371650068027,2.3013035352903444e-06,0.007894351400000943,3430.1066241939084,0.0038664930555555557,0.0
nomad-0kvBRPSc8RU6,False,zfp_0.0001_shift_1703,spatial_control,0.0023863183001058275,1.9766435455537135e-05,0.002385087200000413,120.7257780733224,0.0016447916666666666,0.0
nomad-0kvBRPSc8RU6,False,zfp_0.0001_stratified_1703,spatial_control,0.011077976827371216,1.105423070768552e-05,0.011088065199999164,1002.1481476471436,0.004537673611111111,0.0
nomad-0kvBRPSc8RU6,False,zfp_0.001,codec,0.15615931804513927,0.000245909207466255,0.1563030284,635.0283490973729,0.02127795138888889,0.0
nomad-0kvBRPSc8RU6,False,sz3_0.0001,codec,0.19040306478034452,0.008372862518351454,0.18852962939999962,22.740498170491072,0.0456828125,0.0
nomad-0kvBRPSc8RU6,False,sz3_0.0001_global_1701,spatial_control,0.3428474180453289,0.005282115140085253,0.33999890019999945,64.90722162481967,0.08655,0.0
nomad-0kvBRPSc8RU6,False,sz3_0.0001_shift_1701,spatial_control,0.23254826186534316,0.0068635920490311975,0.2303550751000003,33.88142246859901,0.05557743055555556,0.0
nomad-0kvBRPSc8RU6,False,sz3_0.0001_stratified_1701,spatial_control,0.2245935192391766,0.007663691334599321,0.22216458120000127,29.306180198725208,0.08355138888888888,0.0
nomad-0kvBRPSc8RU6,False,sz3_0.0001_global_1702,spatial_control,0.21084018150179773,0.005329013942423799,0.21608699639999962,39.564576820360344,0.08321302083333333,0.0
nomad-0kvBRPSc8RU6,False,sz3_0.0001_shift_1702,spatial_control,0.162703865959541,0.005198231911311524,0.15915632499999965,31.299847474194454,0.04099166666666667,0.0
nomad-0kvBRPSc8RU6,False,sz3_0.0001_stratified_1702,spatial_control,0.2370406047685627,0.0076472084605452295,0.2345567224000007,30.997010999705665,0.08093142361111111,0.0
nomad-0kvBRPSc8RU6,False,sz3_0.0001_global_1703,spatial_control,0.221291954236575,0.005312846563425566,0.22660480080000056,41.65223888827922,0.08253541666666667,0.0
nomad-0kvBRPSc8RU6,False,sz3_0.0001_shift_1703,spatial_control,0.0872402218120314,0.012798341157850501,0.09332649640000135,6.816525730642697,0.043285243055555554,0.0
nomad-0kvBRPSc8RU6,False,sz3_0.0001_stratified_1703,spatial_control,0.24998569844195018,0.0076613226674489,0.25182327510000135,32.62957446030549,0.0819515625,0.0
nomad-0kvBRPSc8RU6,False,sz3_0.001,codec,0.4060013941769043,0.0817790858103411,0.4456741864999998,4.964611552622232,0.1307048611111111,0.0
nomad-0kvBRPSc8RU6,False,sperr_0.0001,codec,0.23074713532810343,7.858824513995444e-05,0.23074413760000034,2936.153300244531,0.06322118055555556,0.0
nomad-0kvBRPSc8RU6,False,sperr_0.0001_global_1701,spatial_control,0.20992890037976863,4.6027484811972386e-05,0.2099333187999992,4560.946600435643,0.07548958333333333,0.0
nomad-0kvBRPSc8RU6,False,sperr_0.0001_shift_1701,spatial_control,0.18307342291425677,9.783308574462524e-05,0.1831712560000014,1871.2833344757755,0.06596180555555556,0.0
nomad-0kvBRPSc8RU6,False,sperr_0.0001_stratified_1701,spatial_control,0.2019845814389214,5.8125459132085666e-05,0.2019748933999992,3474.9761026390665,0.07308923611111111,0.0
nomad-0kvBRPSc8RU6,False,sperr_0.0001_global_1702,spatial_control,0.17530927103748084,4.058995401123866e-05,0.17531841709999973,4319.031033859776,0.07468854166666666,0.0
nomad-0kvBRPSc8RU6,False,sperr_0.0001_shift_1702,spatial_control,0.1870065598885553,7.291832277012134e-05,0.18702729730000023,2564.603144783004,0.06759722222222223,0.0
nomad-0kvBRPSc8RU6,False,sperr_0.0001_stratified_1702,spatial_control,0.2282049284366856,4.772082328585725e-05,0.22819137840000003,4782.082804181574,0.07333298611111111,0.0
nomad-0kvBRPSc8RU6,False,sperr_0.0001_global_1703,spatial_control,0.19925084787377934,6.008104749888332e-05,0.19925539729999997,3316.36774271425,0.07613819444444445,0.0
nomad-0kvBRPSc8RU6,False,sperr_0.0001_shift_1703,spatial_control,0.2320615383059117,8.523862276277328e-05,0.2320728062999997,2722.49281821176,0.06479618055555555,0.0
nomad-0kvBRPSc8RU6,False,sperr_0.0001_stratified_1703,spatial_control,0.21460404745051598,9.057166692905128e-05,0.21459133769999994,2369.439083180667,0.07458506944444444,0.0
nomad-3Rqsfa2-hyu7,False,float32,float32,4.924061158817494e-11,3.920565205817184e-09,3.900000322687447e-09,0.012559569603666741,0.0,0.0
nomad-3Rqsfa2-hyu7,False,noise_20260905,noise,0.0004741064421391883,3.338453780088457e-08,0.00047412660000034634,14201.37804413833,2.1356922398589065e-05,0.0
nomad-3Rqsfa2-hyu7,False,noise_1,noise,0.00021298529088120688,2.8394813611498648e-08,0.0002129900999996437,7500.851873701232,2.2505144032921812e-05,0.0
nomad-3Rqsfa2-hyu7,False,noise_2,noise,0.0008083531806377664,3.003841086979264e-08,0.0008083617999989912,26910.650638002495,3.031305114638448e-05,0.0
nomad-3Rqsfa2-hyu7,False,noise_3,noise,0.00038707027933959637,1.965799434344717e-08,0.0003870563999992527,19690.222337897,2.9394473838918284e-05,0.0
nomad-3Rqsfa2-hyu7,False,noise_4,noise,0.0002628679063274575,2.96883921890867e-08,0.0002628708000003144,8854.23180390639,2.2505144032921812e-05,0.0
nomad-3Rqsfa2-hyu7,False,zfp_0.0001,codec,0.011174068621807365,9.362978193649951e-06,0.011183431600001015,1193.4310206324853,0.0024340002204585537,0.0
