material,domain,sentinel,solver,codec,control,codec_error_e,control_median_error_e,difference_e,ratio,relative_linf_mismatch_max,max_added_negative_fraction
mp-1261118,bulk,False,henkelman_ongrid,sperr,shift,0.015074999999999505,0.06042199999999909,0.04534699999999958,4.008092868988462,0.0,2.5510204081632674e-06
mp-1261118,bulk,False,henkelman_ongrid,sperr,stratified,0.015074999999999505,0.049284000000000106,0.0342090000000006,3.269253731343398,0.0,-1.4577259475218661e-06
mp-1261118,bulk,False,henkelman_neargrid,zfp,global,0.0014349999999989649,0.003212000000001325,0.00177700000000236,2.2383275261349422,0.0,1.0932944606413945e-06
mp-1261118,bulk,False,henkelman_neargrid,zfp,shift,0.0014349999999989649,0.001473999999998199,3.899999999923409e-05,1.0271777003479179,0.0,1.0932944606413945e-06
mp-1261118,bulk,False,henkelman_neargrid,zfp,stratified,0.0014349999999989649,0.001585000000002168,0.00015000000000320313,1.1045296167270462,0.0,7.288629737609297e-07
mp-1261118,bulk,False,henkelman_neargrid,sz3,global,0.024410000000001375,0.049870999999999555,0.02546099999999818,2.0430561245389898,3.2064733656801107e-14,4.737609329446063e-06
mp-1261118,bulk,False,henkelman_neargrid,sz3,shift,0.024410000000001375,0.04500100000000096,0.020590999999999582,1.8435477263415987,0.0,5.466472303207e-06
mp-1261118,bulk,False,henkelman_neargrid,sz3,stratified,0.024410000000001375,0.04979900000000015,0.025388999999998774,2.040106513723775,0.0,1.4577259475218661e-06
mp-1261118,bulk,False,henkelman_neargrid,sperr,global,0.006185000000000329,0.01668999999999965,0.01050499999999932,2.6984640258688377,0.0,-3.6443148688046484e-07
mp-1261118,bulk,False,henkelman_neargrid,sperr,shift,0.006185000000000329,0.010732999999998327,0.004547999999997998,1.7353274050117633,0.0,2.5510204081632674e-06
mp-1261118,bulk,False,henkelman_neargrid,sperr,stratified,0.006185000000000329,0.008607999999998839,0.0024229999999985097,1.3917542441387842,0.0,-1.4577259475218661e-06
mp-30772,bulk,False,baderkit_ongrid,zfp,global,0.18723854809999985,0.026046509500000425,-0.16119203859999942,0.13910869190295994,7.045377127781283e-13,0.0
mp-30772,bulk,False,baderkit_ongrid,zfp,shift,0.18723854809999985,0.2084996123000007,0.021261064200000845,1.113550678616915,0.0,0.0
mp-30772,bulk,False,baderkit_ongrid,zfp,stratified,0.18723854809999985,0.2123576538000007,0.025119105700000866,1.134155631705632,0.0,0.0
mp-30772,bulk,False,baderkit_ongrid,sz3,global,2.3233733253999995,0.2838068236,-2.0395665017999995,0.12215291468543432,0.0,0.0
mp-30772,bulk,False,baderkit_ongrid,sz3,shift,2.3233733253999995,0.27496013779999995,-2.0484131875999996,0.1183452245035403,3.0072765799805655e-14,0.0
mp-30772,bulk,False,baderkit_ongrid,sz3,stratified,2.3233733253999995,2.5326957657000007,0.20932244030000113,1.0900941910676207,0.0,0.0
mp-30772,bulk,False,baderkit_ongrid,sperr,global,2.5971400090000003,2.5144485032999997,-0.08269150570000061,0.9681605514475748,7.518136873437244e-15,0.0
mp-30772,bulk,False,baderkit_ongrid,sperr,shift,2.5971400090000003,0.3841911813000003,-2.2129488277,0.14792855986533002,7.518136873437244e-15,0.0
mp-30772,bulk,False,baderkit_ongrid,sperr,stratified,2.5971400090000003,0.38528742119999926,-2.211852587800001,0.14835065489917498,0.0,0.0
mp-30772,bulk,False,henkelman_ongrid,zfp,global,3.969531,2.445578000000001,-1.5239529999999988,0.6160873916843076,7.045377127781283e-13,0.0
mp-30772,bulk,False,henkelman_ongrid,zfp,shift,3.969531,2.453297000000001,-1.516233999999999,0.6180319539008515,0.0,0.0
mp-30772,bulk,False,henkelman_ongrid,zfp,stratified,3.969531,2.436765000000001,-1.5327659999999987,0.6138672301589284,0.0,0.0
mp-30772,bulk,False,henkelman_ongrid,sz3,global,2.209627000000001,3.5768590000000007,1.3672319999999996,1.6187614470677625,0.0,0.0
mp-30772,bulk,False,henkelman_ongrid,sz3,shift,2.209627000000001,2.920439,0.7108119999999989,1.321688683203092,3.0072765799805655e-14,0.0
mp-30772,bulk,False,henkelman_ongrid,sz3,stratified,2.209627000000001,3.641971,1.4323439999999987,1.6482288639666325,0.0,0.0
mp-30772,bulk,False,henkelman_ongrid,sperr,global,3.4471310000000006,3.5045780000000004,0.057446999999999804,1.016665163000768,7.518136873437244e-15,0.0
mp-30772,bulk,False,henkelman_ongrid,sperr,shift,3.4471310000000006,3.364802000000001,-0.08232899999999965,0.9761166604924502,7.518136873437244e-15,0.0
mp-30772,bulk,False,henkelman_ongrid,sperr,stratified,3.4471310000000006,3.5081240000000005,0.06099299999999985,1.0176938445333235,0.0,0.0
mp-30772,bulk,False,henkelman_neargrid,zfp,global,4.940688,2.471851000000001,-2.468836999999999,0.5003050182484708,7.045377127781283e-13,0.0
mp-30772,bulk,False,henkelman_neargrid,zfp,shift,4.940688,2.4705130000000004,-2.4701749999999993,0.5000342057624364,0.0,0.0
mp-30772,bulk,False,henkelman_neargrid,zfp,stratified,4.940688,2.468808000000001,-2.4718799999999987,0.49968911212365585,0.0,0.0
mp-30772,bulk,False,henkelman_neargrid,sz3,global,1.9598820000000003,3.4542360000000016,1.4943540000000013,1.762471414095339,0.0,0.0
mp-30772,bulk,False,henkelman_neargrid,sz3,shift,1.9598820000000003,2.8849750000000007,0.9250930000000004,1.4720146416978166,3.0072765799805655e-14,0.0
