material_id,formula,npoints,natoms,stability_floor_A1_e,ladder,pilot_role,is_pilot_row,nominal_tolerance_relative,nominal_tolerance_absolute,frozen_realized_Linf,reproduced_realized_Linf,Linf_reproduction_ratio,reproduction_gate_pass,realized_Linf,realized_Linf_over_ptp,rmse_density,frozen_compressed_bytes,reproduced_compressed_bytes,compression_ratio_frozen,compression_ratio_reproduced,Bader_error_resolved_e,Bader_error_fixed_e,frac_voxels_reassigned,electron_count_abs_dev,V_orig_rms,V_orig_ptp,potential_rel_RMSE,potential_rel_Linf,potential_rel_Linf_over_Vptp
mp-1219705,PrY,301056,2,3.822001167108624e-05,base,loose,True,0.03,11.697652755732,1.0676436220000056,1.0676436220000056,1.0,True,1.0676436220000056,0.0027380970634733022,0.1471774936770392,32520,32520,74.06051660516606,74.06051660516606,0.1000220571811461,0.0028143719041171,0.0544749149659863,0.004889431682371992,89.89561464482634,625.3843086730338,0.0003002748758747662,0.0009959575984341907,0.00014316352238098179
mp-1246548,In(FeN)2,322560,5,0.0001451752940315,tight,tight,True,1e-07,0.000130409484374,3.152478042878215e-05,3.152478042878215e-05,1.0,True,3.152478042878215e-05,2.4173686891024332e-08,5.326148924552854e-06,536712,536712,4.807941689397666,4.807941689397666,5.003400874770136e-05,7.0776220439938706e-09,3.1001984126984127e-06,4.456509827832633e-09,357.938409994275,1780.1632387024374,1.5196093213654406e-09,3.738797099084494e-09,7.517620069005412e-10
mp-1246548,In(FeN)2,322560,5,0.0001451752940315,base,middle,True,0.0001,0.13040948437405,0.0291796606562506,0.02917966065625066,1.0000000000000022,True,0.02917966065625066,2.2375412951220197e-05,0.004420318381764095,163160,163160,15.815641088502083,15.815641088502083,0.0005071022232652,4.9306486795686055e-06,0.0013454861111111,1.0302107256165982e-07,357.938409994275,1780.1632387024374,1.3602939990375306e-06,3.919657947635027e-06,7.881277980555031e-07
mp-1246548,In(FeN)2,322560,5,0.0001451752940315,base,loose,True,0.1,130.40948437405,17.403470340000013,17.403470340000013,1.0,True,17.403470340000013,0.01334524894683435,1.916454745718285,22792,22792,113.21867321867322,113.21867321867322,0.2004406792801809,0.0118154633021223,0.1457186259920635,0.017460420481391736,357.938409994275,1780.1632387024374,0.0015090179317987376,0.003799097169936584,0.0007638865755996856
mp-10761,FeTe,327680,4,0.0016631708205121,base,tight,True,1e-05,0.01576942614007,0.0041519059023436,0.0041519059023436,1.0,True,0.0041519059023436,2.6328833183051835e-06,0.0005814161694932364,221112,221112,11.855711132819566,11.855711132819566,0.0082389030894578,1.576691873061975e-06,0.00145263671875,6.144633672988675e-07,218.19938066267764,1643.233386729751,2.1527201215576778e-07,7.465370261029802e-07,9.913011630174315e-08
mp-10761,FeTe,327680,4,0.0016631708205121,base,middle,True,0.001,1.576942614007,0.1972848663749999,0.19728486637499998,1.0000000000000004,True,0.19728486637499998,0.0001251059262541587,0.02773094680415773,84896,84896,30.878251036562386,30.878251036562382,0.0153131580569247,6.78485848393251e-05,0.0085479736328125,4.6306313002730803e-05,218.19938066267764,1643.233386729751,1.2293127140757907e-05,4.137774985544616e-05,5.49441087589003e-06
mp-10761,FeTe,327680,4,0.0016631708205121,base,loose,True,0.1,157.6942614007,18.953398,18.953397999999993,0.9999999999999997,True,18.953397999999993,0.012019079091178558,1.7006733822915334,20784,20784,126.12779060816013,126.12779060816013,0.3028905076847739,0.0156392259464919,0.158673095703125,0.01328177994581381,218.19938066267764,1643.233386729751,0.0019042938029684426,0.005670993516633445,0.0007530319692043747
mp-1226636,CeB2Ir2Rh,338688,6,0.0053351040971492,base,tight,True,1e-05,0.0109234329734,0.0019495853867184,0.001949585386718411,1.0000000000000058,True,0.001949585386718411,1.784773515309618e-06,0.00032223831433329504,304832,304832,8.888515641402478,8.888515641402478,0.0009113684886523,8.411996939017286e-07,0.0008149092970521,1.047231670270321e-06,157.82912052376955,1413.5858045209122,2.181059358827692e-07,5.98392215539018e-07,6.681144986370438e-08
mp-1226636,CeB2Ir2Rh,338688,6,0.0053351040971492,base,middle,True,0.001,1.09234329734,0.2033125895000012,0.2033125895000012,1.0,True,0.2033125895000012,0.00018612517694308574,0.02977521357452711,99488,99488,27.23448054036668,27.23448054036668,0.0057069080414411,0.0001286704761014,0.0044347600151171,0.00012985772362839043,157.82912052376955,1413.5858045209122,2.9768065646929008e-05,8.20358726408766e-05,9.159436653155763e-06
mp-1226636,CeB2Ir2Rh,338688,6,0.0053351040971492,base,loose,True,0.03,32.7702989202,3.9012267900000097,3.9012267900000097,1.0,True,3.9012267900000097,0.00357142923795112,0.5935826456458257,35544,35544,76.22957461174882,76.22957461174882,0.1241980487329357,0.0039467756203062,0.0388233418367346,0.0035903803716124116,157.82912052376955,1413.5858045209122,0.0007661334766601943,0.0022215222004228602,0.00024803651394589423
